股票代號,進場日期,出場日期,進場股價,出場股價,買進股數,總投入成本,持有天數,期間最大正報酬(%),期間最大負報酬(%),出場報酬率(%),出場觸發條件
1101,2000-02-09,2000-02-25,7.03,7.26,7114,49999,13,29.07,-2.09,3.26,移動停損(高回落20%)
1101,2000-05-17,2000-05-25,5.16,4.39,9680,49996,7,3.16,-16.46,-15.0,固定停損(-15%)
1101,2000-07-18,2000-08-16,4.35,4.37,11500,49998,20,11.53,-8.27,0.47,跌破月線(連兩日)
1101,2000-11-13,2000-11-21,3.23,2.77,15467,50000,5,9.52,-4.76,-14.29,跌破月線(連兩日)
1101,2001-01-04,2001-02-21,3.17,3.31,15748,49999,28,20.61,-7.27,4.24,跌破月線(連兩日)
1101,2001-08-14,2001-09-10,1.7,1.66,29332,49999,19,13.77,-3.59,-2.4,跌破月線(連兩日)
1101,2001-10-30,2001-11-01,1.49,1.46,33551,49999,2,0.68,-3.42,-2.05,跌破月線(連兩日)
1101,2001-11-19,2001-11-30,1.51,1.47,33098,49999,9,10.81,-4.73,-2.7,跌破月線(連兩日)
1101,2001-12-07,2001-12-31,1.72,1.71,28985,49999,16,19.53,-2.96,-0.59,跌破月線(連兩日)
1101,2002-03-05,2002-04-30,1.82,2.27,27520,50000,40,56.18,-5.06,24.94,移動停損(高回落20%)
1101,2002-06-11,2002-06-28,2.35,2.2,21298,49999,13,8.26,-8.7,-6.09,跌破月線(連兩日)
1101,2002-07-05,2002-07-29,2.62,2.4,19060,49998,16,1.95,-11.67,-8.51,跌破月線(連兩日)
1101,2002-10-24,2002-12-27,1.82,2.24,27534,49999,45,38.01,-7.02,23.39,跌破月線(連兩日)
1101,2003-01-06,2003-02-13,2.59,2.97,19296,49998,22,37.7,0.0,14.75,跌破月線(連兩日)
1101,2003-03-20,2003-04-02,2.87,2.68,17438,49999,9,2.59,-9.63,-6.67,跌破月線(連兩日)
1101,2003-04-08,2003-04-23,2.89,2.73,17310,49999,11,6.25,-7.35,-5.51,跌破月線(連兩日)
1101,2003-05-27,2003-06-25,2.47,2.48,20207,49998,20,9.87,-0.43,0.43,跌破月線(連兩日)
1101,2003-07-29,2003-08-07,2.65,2.47,18833,49999,7,0.0,-8.0,-6.8,跌破月線(連兩日)
1101,2003-08-18,2003-09-10,2.73,2.67,18292,49998,17,8.8,-2.4,-2.4,跌破月線(連兩日)
1101,2003-10-06,2003-11-13,2.83,3.45,17657,50000,27,39.0,-0.77,22.01,跌破月線(連兩日)
1101,2003-12-12,2004-02-05,3.54,3.91,14114,49997,32,18.52,-2.47,10.49,跌破月線(連兩日)
1101,2004-02-11,2004-03-12,4.35,4.37,11490,49998,22,9.55,-7.54,0.5,跌破月線(連兩日)
1101,2004-05-31,2004-06-04,3.39,3.06,14752,49999,4,2.58,-9.03,-9.68,跌破月線(連兩日)
1101,2004-07-01,2004-07-22,3.35,3.28,14945,50000,15,5.23,-2.29,-1.96,跌破月線(連兩日)
1101,2004-08-20,2004-10-15,3.5,3.98,14291,49999,37,31.09,-1.25,13.88,跌破月線(連兩日)
1101,2004-11-11,2005-01-11,4.4,4.8,11360,49998,43,14.21,-2.11,8.95,跌破月線(連兩日)
1101,2005-02-14,2005-02-18,4.86,4.66,10278,49998,4,0.0,-4.76,-4.29,跌破月線(連兩日)
1101,2005-03-08,2005-03-17,4.91,4.55,10181,49997,7,0.24,-7.08,-7.31,跌破月線(連兩日)
1101,2005-04-28,2005-05-18,4.42,4.27,11300,49996,13,0.79,-4.97,-3.4,跌破月線(連兩日)
1101,2005-06-10,2005-07-07,4.48,4.52,11154,49996,19,3.88,-1.29,0.78,跌破月線(連兩日)
1101,2005-07-19,2005-08-12,4.86,4.56,10278,49998,17,0.0,-8.1,-6.19,跌破月線(連兩日)
1101,2005-09-20,2005-10-24,4.95,5.35,10095,49997,23,13.9,-0.8,8.02,跌破月線(連兩日)
1101,2005-12-01,2006-03-16,5.56,6.49,8989,49995,68,26.19,-0.71,16.67,跌破月線(連兩日)
1101,2006-04-18,2006-05-17,6.78,6.62,7374,49997,20,16.02,-4.69,-2.34,跌破月線(連兩日)
1101,2006-07-05,2006-07-19,6.59,6.3,7589,49997,10,4.12,-7.22,-4.33,跌破月線(連兩日)
1101,2006-08-15,2006-08-23,6.64,6.41,7527,49998,6,1.64,-4.29,-3.48,跌破月線(連兩日)
1101,2006-09-08,2006-11-21,6.66,7.84,7511,49996,49,21.37,-6.17,17.84,時間停損(20日未創高)
1101,2006-11-23,2006-12-18,8.18,8.53,6111,49995,17,11.47,0.0,4.3,跌破月線(連兩日)
1101,2007-04-02,2007-05-17,8.24,9.15,6068,49999,30,15.84,-1.78,11.03,時間停損(20日未創高)
1101,2007-05-22,2007-06-07,9.41,9.31,5311,49991,12,3.89,-3.12,-1.09,跌破月線(連兩日)
1101,2007-06-14,2007-08-03,9.82,11.39,5089,49990,34,31.49,-0.3,16.0,跌破月線(連兩日)
1101,2007-08-09,2007-08-17,13.08,11.12,3822,49992,7,4.02,-17.61,-15.0,固定停損(-15%)
1101,2007-09-20,2007-10-24,13.45,16.08,3717,49998,21,32.18,-1.38,19.54,跌破月線(連兩日)
1101,2007-10-29,2007-11-05,17.78,15.86,2812,49998,5,0.52,-11.3,-10.78,跌破月線(連兩日)
1101,2008-01-09,2008-01-23,15.31,13.88,3266,49991,11,13.33,-11.21,-9.33,移動停損(高回落20%)
1101,2008-02-26,2008-03-17,17.01,15.83,2939,49984,13,6.36,-5.82,-6.91,跌破月線(連兩日)
1101,2008-03-25,2008-04-10,18.71,16.64,2672,49988,11,0.0,-13.06,-11.07,跌破月線(連兩日)
1101,2008-11-06,2008-12-25,5.88,8.22,8496,49997,35,59.44,-9.17,39.72,跌破月線(連兩日)
1101,2009-01-08,2009-01-14,8.88,8.03,5633,49999,4,2.95,-12.15,-9.58,跌破月線(連兩日)
1101,2009-02-16,2009-03-03,8.89,8.08,5622,49994,11,2.02,-9.74,-9.19,跌破月線(連兩日)
1101,2009-03-06,2009-04-02,8.86,9.84,5643,49996,18,12.36,-1.85,11.07,跌破月線(連兩日)
1101,2009-04-03,2009-04-29,10.12,9.81,4941,49996,18,16.16,-4.04,-3.07,跌破月線(連兩日)
1101,2009-05-06,2009-05-15,11.8,10.53,4236,49994,7,1.11,-12.74,-10.8,跌破月線(連兩日)
1101,2009-07-08,2009-08-21,10.66,11.75,4691,49996,31,22.09,-3.37,10.25,跌破月線(連兩日)
1101,2009-09-11,2009-09-28,12.46,11.92,4012,49996,11,0.82,-4.21,-4.35,跌破月線(連兩日)
1101,2009-10-02,2009-10-26,12.53,12.44,3990,49992,16,3.92,-2.7,-0.68,跌破月線(連兩日)
1101,2010-01-05,2010-01-15,11.72,11.62,4267,49995,8,5.2,-2.02,-0.87,跌破月線(連兩日)
1101,2010-04-06,2010-04-21,10.23,9.7,4889,49998,11,1.16,-5.46,-5.13,跌破月線(連兩日)
1101,2010-06-02,2010-07-02,9.19,9.21,5438,49996,21,5.34,-3.5,0.18,跌破月線(連兩日)
1101,2010-07-07,2010-08-19,9.82,10.47,5091,49995,31,14.38,-1.9,6.65,跌破月線(連兩日)
1101,2010-09-03,2010-10-20,11.2,11.76,4465,49991,32,13.55,-0.65,5.0,跌破月線(連兩日)
1101,2010-11-09,2010-11-16,12.42,11.67,4024,49995,5,0.29,-6.98,-6.1,跌破月線(連兩日)
1101,2010-12-09,2010-12-29,12.25,11.8,4080,49991,14,0.75,-4.18,-3.73,跌破月線(連兩日)
1101,2011-03-09,2011-05-16,11.56,14.48,4326,49998,45,35.76,-6.01,25.32,跌破月線(連兩日)
1101,2011-05-31,2011-06-14,15.36,14.63,3254,49986,9,0.24,-6.19,-4.76,跌破月線(連兩日)
1101,2011-06-30,2011-08-09,15.4,15.3,3247,49997,28,17.46,-0.14,-0.64,跌破月線(連兩日)
1101,2011-10-12,2011-11-14,13.64,13.85,3665,49992,23,9.93,-4.06,1.54,跌破月線(連兩日)
1101,2012-01-11,2012-03-07,13.66,13.35,3660,49993,31,6.56,-2.23,-2.23,跌破月線(連兩日)
1101,2012-04-19,2012-04-26,13.66,13.3,3660,49993,5,0.84,-3.63,-2.65,跌破月線(連兩日)
1101,2012-06-19,2012-07-27,13.49,13.75,3707,49999,28,4.67,-3.82,1.94,跌破月線(連兩日)
1101,2012-07-31,2012-08-20,14.11,14.03,3543,49997,13,4.14,-1.71,-0.57,跌破月線(連兩日)
1101,2012-09-13,2012-10-15,14.23,14.19,3513,49999,21,4.82,-1.27,-0.28,跌破月線(連兩日)
1101,2012-10-18,2012-11-15,14.88,14.78,3360,49989,20,4.74,-1.76,-0.68,跌破月線(連兩日)
1101,2012-12-06,2012-12-25,15.4,15.12,3246,49994,13,4.06,-3.53,-1.83,跌破月線(連兩日)
1101,2013-01-11,2013-02-19,15.99,15.91,3127,49989,20,2.9,-5.42,-0.5,跌破月線(連兩日)
1101,2013-04-16,2013-05-07,15.2,15.54,3289,49993,14,6.37,0.0,2.25,跌破月線(連兩日)
1101,2013-05-16,2013-06-05,15.91,15.32,3143,49992,14,1.14,-3.55,-3.68,跌破月線(連兩日)
1101,2013-07-15,2013-10-25,15.12,17.83,3306,49985,70,24.13,0.0,17.95,跌破月線(連兩日)
1101,2013-11-20,2013-12-19,18.32,19.09,2728,49982,21,8.68,-2.66,4.17,跌破月線(連兩日)
1101,2013-12-31,2014-01-06,19.83,19.06,2521,49985,3,0.0,-4.81,-3.85,跌破月線(連兩日)
1101,2014-02-14,2014-03-20,19.36,19.74,2582,49990,23,6.13,-1.42,1.97,跌破月線(連兩日)
1101,2014-04-02,2014-04-29,20.25,20.19,2468,49981,18,4.29,-2.93,-0.31,跌破月線(連兩日)
1101,2014-06-09,2014-06-17,19.53,19.09,2560,49998,6,0.65,-2.93,-2.28,跌破月線(連兩日)
1101,2014-07-17,2014-09-12,19.64,21.2,2545,49981,39,12.61,-1.14,7.95,跌破月線(連兩日)
