組合名稱,隔1日上漲機率(%),隔1日出現次數,隔2日上漲機率(%),隔2日出現次數,隔3日上漲機率(%),隔3日出現次數,隔4日上漲機率(%),隔4日出現次數,隔5日上漲機率(%),隔5日出現次數
T字線_等級-1,32.73,8808,37.49,8808,39.13,8806,40.49,8805,40.86,8800
T字線_等級-2,40.93,904,44.36,904,43.14,904,44.69,904,45.46,904
T字線_等級-3,40.31,196,48.47,196,46.43,196,43.88,196,48.98,196
T字線_等級-4,47.46,59,40.68,59,40.68,59,40.68,59,42.37,59
T字線_等級-5,33.33,24,45.83,24,41.67,24,50.0,24,41.67,24
T字線_等級-6,37.5,8,50.0,8,62.5,8,37.5,8,50.0,8
T字線_等級0,29.53,16782,34.87,16781,37.69,16778,40.5,16774,41.82,16769
T字線_等級1,35.71,14468,40.64,14468,42.97,14467,44.55,14466,45.51,14463
T字線_等級2,39.37,2464,42.69,2464,43.63,2464,45.59,2463,44.66,2463
T字線_等級3,40.7,1091,43.63,1091,44.55,1091,45.65,1091,45.0,1091
T字線_等級4,58.38,7033,53.93,7033,53.42,7033,51.53,7033,51.24,7033
T字線_等級5,57.11,2201,52.48,2199,53.96,2198,51.82,2196,49.89,2195
T字線_等級6,46.77,588,44.73,588,44.05,588,43.2,588,43.54,588
T字線_等級999,46.77,62,32.26,62,37.1,62,35.48,62,30.65,62
一字線_等級-1,40.18,4544,43.75,4544,44.77,4543,45.56,4543,45.38,4542
一字線_等級-2,44.67,1605,49.47,1605,49.31,1604,49.44,1604,48.0,1604
一字線_等級-3,47.73,750,48.8,750,52.93,750,52.53,750,51.73,750
一字線_等級-4,33.96,2244,34.22,2244,38.77,2244,41.22,2244,42.25,2244
一字線_等級-5,32.38,803,31.75,800,44.93,799,48.5,798,53.01,798
一字線_等級-6,28.38,222,27.93,222,32.88,222,39.64,222,41.44,222
一字線_等級0,30.29,9080,37.07,9080,39.91,9078,41.13,9076,42.65,9074
一字線_等級1,39.26,4266,43.76,4266,45.67,4265,45.86,4265,45.44,4265
一字線_等級2,38.8,1330,42.33,1330,43.76,1330,43.16,1330,41.5,1330
一字線_等級3,38.32,736,39.95,736,41.44,736,39.54,736,38.18,736
一字線_等級4,75.12,6877,66.96,6877,65.93,6877,63.18,6877,61.44,6877
一字線_等級5,74.54,2694,67.94,2689,66.78,2685,63.33,2678,62.66,2678
一字線_等級6,71.02,352,59.09,352,60.11,351,56.0,350,54.29,350
一字線_等級999,52.33,86,55.81,86,50.0,86,51.16,86,55.81,86
一般紅K_等級-1,41.27,45943,43.74,45938,44.71,45925,45.48,45909,46.22,45890
一般紅K_等級-2,46.15,8036,46.78,8034,48.51,8029,48.66,8027,50.21,8027
一般紅K_等級-3,47.68,2714,47.94,2714,50.74,2714,51.38,2713,51.94,2713
一般紅K_等級-4,44.86,925,46.49,925,48.76,925,49.78,924,50.38,923
一般紅K_等級-5,45.48,310,48.06,310,57.1,310,57.42,310,61.81,309
一般紅K_等級-6,57.24,145,64.14,145,64.14,145,64.83,145,68.06,144
一般紅K_等級0,39.73,21951,42.48,21946,44.06,21943,45.2,21937,46.4,21933
一般紅K_等級1,43.53,292093,45.28,292057,46.11,291994,46.74,291946,47.25,291893
一般紅K_等級2,41.15,168835,42.88,168801,43.95,168767,44.33,168721,44.84,168676
一般紅K_等級3,39.74,71021,41.45,70982,42.51,70968,42.85,70934,43.09,70886
一般紅K_等級4,41.32,27574,42.57,27560,43.39,27548,43.34,27529,43.64,27503
一般紅K_等級5,36.8,8260,37.71,8255,39.59,8247,38.46,8238,39.3,8230
一般紅K_等級6,40.77,1084,39.58,1084,41.79,1084,41.24,1084,41.79,1084
一般紅K_等級999,46.45,211,44.08,211,40.76,211,45.02,211,43.13,211
一般陰線_等級-1,44.92,273304,47.29,273203,48.22,273154,48.74,273063,48.99,272970
一般陰線_等級-2,47.68,105916,49.25,105869,49.43,105843,50.15,105804,50.23,105781
一般陰線_等級-3,50.91,41556,51.9,41532,51.8,41515,52.33,41506,52.73,41491
一般陰線_等級-4,52.18,16607,53.61,16601,53.06,16595,54.56,16593,54.71,16588
一般陰線_等級-5,57.65,5705,55.76,5703,54.38,5702,57.47,5700,59.72,5698
一般陰線_等級-6,65.87,627,66.67,627,67.46,627,67.3,627,64.11,627
一般陰線_等級0,43.65,41789,46.32,41779,47.42,41773,48.13,41767,48.42,41763
一般陰線_等級1,45.15,109190,47.08,109158,47.62,109148,47.95,109128,48.23,109089
一般陰線_等級2,41.67,15530,44.93,15518,45.3,15516,45.0,15509,45.05,15497
一般陰線_等級3,39.2,3487,41.28,3481,43.78,3479,44.45,3476,43.47,3471
一般陰線_等級4,35.69,961,41.25,960,44.79,960,43.9,959,45.41,958
