K線型態,漲幅區間,隔1日上漲(%),次數(1),隔2日上漲(%),次數(2),隔3日上漲(%),次數(3),隔4日上漲(%),次數(4),隔5日上漲(%),次數(5)
T字線,-10%以上,71.43,7,28.57,7,57.14,7,42.86,7,42.86,7
T字線,-8% ~ -10%,30.77,13,38.46,13,38.46,13,30.77,13,30.77,13
T字線,-6% ~ -8%,47.06,34,35.29,34,44.12,34,35.29,34,41.18,34
T字線,-4% ~ -6%,39.83,118,47.46,118,44.07,118,39.83,118,40.68,118
T字線,-2% ~ -4%,40.45,492,44.92,492,41.87,492,44.11,492,43.7,492
T字線,-0% ~ -2%,32.12,3393,37.96,3393,38.8,3392,40.86,3392,41.5,3390
T字線,平盤,28.82,5490,33.88,5490,36.4,5489,38.88,5489,41.2,5488
T字線,+0% ~ +2%,35.6,4986,41.24,4986,43.56,4986,45.14,4985,46.1,4985
T字線,+2% ~ +4%,40.14,1253,43.5,1253,43.18,1253,44.53,1253,43.5,1253
T字線,+4% ~ +6%,42.0,700,45.14,700,44.86,700,44.86,700,44.43,700
T字線,+6% ~ +8%,57.03,5355,53.37,5355,52.61,5355,51.06,5355,50.7,5355
T字線,+8% ~ +10%,55.62,1814,51.46,1813,52.48,1812,50.58,1811,48.4,1810
T字線,+10%以上,45.08,539,42.67,539,42.67,539,41.0,539,40.07,539
一字線,-10%以上,28.48,165,30.91,165,35.15,165,41.21,165,46.06,165
一字線,-8% ~ -10%,34.29,420,34.37,419,45.45,418,48.92,417,52.28,417
一字線,-6% ~ -8%,33.31,1300,33.08,1300,37.23,1300,39.92,1300,41.0,1300
一字線,-4% ~ -6%,47.09,395,50.13,395,52.15,395,51.65,395,51.39,395
一字線,-2% ~ -4%,43.95,760,49.21,760,48.95,760,49.47,760,47.76,760
一字線,-0% ~ -2%,38.4,2031,40.97,2031,42.74,2031,44.81,2031,44.73,2030
一字線,平盤,29.13,4010,36.26,4010,38.11,4009,40.18,4009,41.51,4009
一字線,+0% ~ +2%,39.88,2086,43.29,2086,44.3,2086,44.68,2086,45.25,2086
一字線,+2% ~ +4%,41.61,769,46.55,769,45.51,769,44.99,769,42.26,769
一字線,+4% ~ +6%,38.59,425,41.18,425,44.24,425,40.0,425,37.18,425
一字線,+6% ~ +8%,74.24,4010,65.81,4010,65.19,4010,61.67,4010,59.98,4010
一字線,+8% ~ +10%,74.69,1762,68.13,1757,66.63,1756,62.54,1754,62.43,1754
一字線,+10%以上,72.22,252,62.3,252,61.75,251,57.6,250,58.0,250
一般紅K,-10%以上,59.42,138,70.29,138,65.94,138,65.94,138,68.61,137
一般紅K,-8% ~ -10%,40.74,216,48.15,216,57.41,216,61.11,216,63.43,216
一般紅K,-6% ~ -8%,41.2,585,44.62,585,49.23,585,48.63,584,50.34,584
一般紅K,-4% ~ -6%,45.33,1414,46.96,1414,48.66,1414,50.28,1414,50.78,1414
一般紅K,-2% ~ -4%,43.38,3306,43.83,3304,46.35,3301,47.21,3300,48.64,3300
一般紅K,-0% ~ -2%,39.34,14386,41.85,14386,43.03,14383,43.76,14380,44.79,14371
一般紅K,平盤,37.7,6443,41.13,6440,42.89,6440,43.52,6439,44.57,6439
一般紅K,+0% ~ +2%,42.59,99740,44.1,99732,44.91,99711,45.55,99698,46.04,99682
一般紅K,+2% ~ +4%,40.3,89968,41.8,89951,42.86,89932,43.11,89909,43.57,89895
一般紅K,+4% ~ +6%,39.35,46532,40.8,46510,41.8,46500,41.84,46481,42.09,46462
一般紅K,+6% ~ +8%,41.21,19854,42.05,19847,42.84,19839,42.82,19826,42.93,19811
一般紅K,+8% ~ +10%,36.94,6427,37.71,6423,39.29,6416,38.21,6412,38.6,6407
一般紅K,+10%以上,40.52,886,38.49,886,39.95,886,40.86,886,41.42,886
一般陰線,-10%以上,66.8,515,67.38,515,67.57,515,68.54,515,65.95,514
一般陰線,-8% ~ -10%,56.68,3548,55.46,3547,53.0,3547,56.7,3547,59.27,3545
一般陰線,-6% ~ -8%,52.06,8380,53.09,8376,52.43,8373,54.03,8373,54.68,8370
一般陰線,-4% ~ -6%,50.0,17906,50.46,17897,50.5,17894,51.35,17891,51.98,17887
一般陰線,-2% ~ -4%,46.74,35853,48.08,35835,47.86,35826,48.78,35812,49.09,35805
一般陰線,-0% ~ -2%,44.15,72122,46.9,72101,47.51,72094,48.04,72077,48.26,72059
一般陰線,平盤,41.9,11856,44.3,11851,44.99,11848,46.05,11847,46.02,11845
一般陰線,+0% ~ +2%,43.83,38435,45.99,38426,46.18,38421,46.21,38414,46.5,38401
一般陰線,+2% ~ +4%,39.78,9494,43.11,9487,43.54,9485,43.2,9482,42.97,9475
一般陰線,+4% ~ +6%,38.3,2496,41.06,2494,43.14,2492,43.69,2490,42.33,2485
一般陰線,+6% ~ +8%,34.3,723,41.36,723,44.67,723,43.91,722,45.21,721
一般陰線,+8% ~ +10%,33.64,220,34.55,220,38.64,220,36.99,219,40.18,219
一般陰線,+10%以上,33.54,158,40.51,158,40.51,158,37.97,158,42.41,158
倒T字線,-10%以上,39.1,133,36.84,133,54.14,133,57.14,133,60.15,133
倒T字線,-8% ~ -10%,35.88,747,32.89,745,57.18,745,62.01,745,66.71,745
倒T字線,-6% ~ -8%,31.41,2127,33.05,2127,39.4,2127,45.89,2127,48.66,2127
倒T字線,-4% ~ -6%,56.96,553,57.69,553,58.05,553,54.79,553,56.6,553
倒T字線,-2% ~ -4%,50.5,1289,52.72,1288,52.41,1288,52.1,1288,51.32,1288
倒T字線,-0% ~ -2%,51.61,3749,51.31,3748,53.31,3748,53.09,3748,53.62,3747
倒T字線,平盤,46.82,4015,50.73,4015,52.05,4015,53.34,4014,53.0,4013
倒T字線,+0% ~ +2%,46.81,3461,49.51,3460,50.77,3459,50.39,3459,51.34,3459
倒T字線,+2% ~ +4%,43.73,391,41.79,390,42.93,389,44.22,389,44.73,389
倒T字線,+4% ~ +6%,43.24,74,45.95,74,47.3,74,45.95,74,54.05,74
倒T字線,+6% ~ +8%,52.94,17,52.94,17,47.06,17,47.06,17,47.06,17
倒T字線,+8% ~ +10%,25.0,12,25.0,12,25.0,12,33.33,12,50.0,12
倒T字線,+10%以上,55.56,9,55.56,9,66.67,9,55.56,9,55.56,9
倒錘紅K,-10%以上,54.55,33,63.64,33,63.64,33,75.76,33,69.7,33
倒錘紅K,-8% ~ -10%,46.02,289,46.53,288,64.93,288,63.89,288,69.1,288
倒錘紅K,-6% ~ -8%,47.07,835,46.83,835,49.22,835,54.49,835,58.44,835
倒錘紅K,-4% ~ -6%,52.94,1022,54.01,1022,54.79,1022,58.9,1022,60.08,1022
倒錘紅K,-2% ~ -4%,54.15,1193,54.07,1193,56.5,1193,55.83,1193,54.32,1193
倒錘紅K,-0% ~ -2%,51.13,3413,53.26,3410,52.79,3410,53.72,3410,53.42,3409
倒錘紅K,平盤,47.08,1778,52.02,1778,52.25,1778,51.18,1778,50.79,1778
倒錘紅K,+0% ~ +2%,46.39,26073,47.14,26070,47.74,26070,48.09,26070,48.13,26067
倒錘紅K,+2% ~ +4%,41.72,8839,42.21,8839,42.11,8839,42.44,8836,42.24,8832
倒錘紅K,+4% ~ +6%,38.17,1006,40.3,1005,40.94,1004,39.64,1004,41.53,1004
倒錘紅K,+6% ~ +8%,35.92,103,40.78,103,34.95,103,39.81,103,36.27,102
倒錘紅K,+8% ~ +10%,26.92,26,38.46,26,38.46,26,34.62,26,42.31,26
倒錘紅K,+10%以上,23.08,39,23.08,39,33.33,39,30.77,39,33.33,39
倒錘綠K,-10%以上,47.14,70,54.29,70,65.71,70,68.57,70,62.86,70
倒錘綠K,-8% ~ -10%,46.39,623,48.8,623,58.11,623,62.7,622,66.56,622
倒錘綠K,-6% ~ -8%,35.2,1142,37.65,1142,45.01,1142,49.65,1142,52.8,1142
倒錘綠K,-4% ~ -6%,56.67,390,56.3,389,55.3,387,51.94,387,51.94,387
倒錘綠K,-2% ~ -4%,50.55,1444,51.49,1443,50.14,1442,50.42,1442,51.25,1442
倒錘綠K,-0% ~ -2%,48.98,9035,51.33,9034,51.37,9033,51.29,9033,51.1,9032
倒錘綠K,平盤,45.29,3140,46.59,3140,46.62,3140,48.04,3139,48.8,3137
倒錘綠K,+0% ~ +2%,45.71,6095,46.24,6094,46.51,6093,46.13,6092,46.91,6092
倒錘綠K,+2% ~ +4%,41.91,680,44.85,680,45.59,680,45.59,680,44.26,680
倒錘綠K,+4% ~ +6%,36.99,73,38.36,73,43.84,73,35.62,73,32.88,73
倒錘綠K,+6% ~ +8%,25.0,20,25.0,20,30.0,20,50.0,20,30.0,20
倒錘綠K,+8% ~ +10%,18.75,16,6.25,16,18.75,16,12.5,16,18.75,16
倒錘綠K,+10%以上,42.86,7,42.86,7,57.14,7,42.86,7,42.86,7
光腳紅K,-10%以上,64.81,54,74.07,54,72.22,54,70.37,54,68.52,54
光腳紅K,-8% ~ -10%,41.74,115,42.61,115,56.52,115,58.26,115,65.22,115
光腳紅K,-6% ~ -8%,41.67,276,47.83,276,55.07,276,59.06,276,59.78,276
光腳紅K,-4% ~ -6%,45.26,1065,48.54,1065,50.23,1065,53.43,1065,55.96,1065
光腳紅K,-2% ~ -4%,49.41,2188,52.24,2188,53.15,2188,52.95,2187,53.82,2187
光腳紅K,-0% ~ -2%,44.93,5727,47.81,5725,49.61,5725,50.13,5725,50.59,5723
光腳紅K,平盤,41.43,2621,45.82,2619,47.19,2619,48.72,2619,48.45,2619
