K線型態,漲跌幅等級,振幅等級,出現次數,T+1勝率(%),T+2勝率(%),T+3勝率(%),T+4勝率(%),T+5勝率(%)
1.一字線,中漲(3~8%),低波動(<4%),25515,59.29,54.75,54.58,53.15,52.17
1.一字線,中跌(-8~-3%),低波動(<4%),21173,39.31,41.2,43.32,43.51,45.11
1.一字線,小漲(0~3%),低波動(<4%),42927,32.92,36.9,38.4,38.98,39.72
1.一字線,小跌(-3~0%),低波動(<4%),44490,42.5,46.19,47.12,46.86,46.77
1.一字線,平盤(0%),低波動(<4%),57128,31.62,37.15,39.38,40.68,41.66
1.一字線,漲停或大漲(>8%),低波動(<4%),6700,69.51,64.12,63.37,60.55,59.58
1.一字線,跌停或大跌(<-8%),低波動(<4%),4981,25.24,25.06,32.97,36.2,41.08
10.長下影線綠K,中漲(3~8%),中等波動(4~8%),6154,35.23,37.23,40.07,40.95,39.96
10.長下影線綠K,中漲(3~8%),低波動(<4%),5506,39.27,44.5,45.91,46.97,46.35
10.長下影線綠K,中漲(3~8%),劇烈波動(>8%),1815,32.84,34.21,34.6,34.44,33.99
10.長下影線綠K,中跌(-8~-3%),中等波動(4~8%),10494,43.11,45.73,46.9,47.03,47.76
10.長下影線綠K,中跌(-8~-3%),低波動(<4%),5077,46.56,47.21,47.98,49.06,48.41
10.長下影線綠K,中跌(-8~-3%),劇烈波動(>8%),3019,46.94,47.27,49.55,50.84,50.22
10.長下影線綠K,小漲(0~3%),中等波動(4~8%),19280,39.66,42.53,43.2,43.84,43.89
10.長下影線綠K,小漲(0~3%),低波動(<4%),166731,42.26,44.78,45.96,46.74,47.22
10.長下影線綠K,小漲(0~3%),劇烈波動(>8%),2900,36.72,38.59,40.17,40.03,39.79
10.長下影線綠K,小跌(-3~0%),中等波動(4~8%),62670,39.85,42.19,43.64,44.08,44.26
10.長下影線綠K,小跌(-3~0%),低波動(<4%),318944,39.61,42.39,43.62,44.66,45.25
10.長下影線綠K,小跌(-3~0%),劇烈波動(>8%),6695,42.14,43.54,45.45,46.32,47.32
10.長下影線綠K,平盤(0%),中等波動(4~8%),7656,38.07,40.71,42.12,42.49,43.39
10.長下影線綠K,平盤(0%),低波動(<4%),73220,38.82,42.42,43.96,44.92,45.47
10.長下影線綠K,平盤(0%),劇烈波動(>8%),1008,35.42,36.01,39.29,41.47,39.19
10.長下影線綠K,漲停或大漲(>8%),中等波動(4~8%),385,30.13,35.06,37.92,34.29,37.14
10.長下影線綠K,漲停或大漲(>8%),低波動(<4%),408,33.33,36.27,40.93,39.95,41.67
10.長下影線綠K,漲停或大漲(>8%),劇烈波動(>8%),201,35.82,35.82,34.83,36.32,35.82
10.長下影線綠K,跌停或大跌(<-8%),中等波動(4~8%),97,49.48,47.42,46.39,47.42,47.42
10.長下影線綠K,跌停或大跌(<-8%),低波動(<4%),196,55.61,58.67,61.73,65.31,59.69
10.長下影線綠K,跌停或大跌(<-8%),劇烈波動(>8%),101,35.64,32.67,34.65,31.68,28.71
11.一般綠K(紡錘線),中漲(3~8%),中等波動(4~8%),649,42.37,43.76,44.68,44.84,45.92
11.一般綠K(紡錘線),中漲(3~8%),低波動(<4%),633,41.86,47.55,49.29,49.13,46.6
11.一般綠K(紡錘線),中漲(3~8%),劇烈波動(>8%),80,42.5,56.25,57.5,47.5,51.25
11.一般綠K(紡錘線),中跌(-8~-3%),中等波動(4~8%),8926,48.72,49.17,48.45,49.32,49.87
11.一般綠K(紡錘線),中跌(-8~-3%),低波動(<4%),3051,48.05,46.87,48.02,47.66,48.34
11.一般綠K(紡錘線),中跌(-8~-3%),劇烈波動(>8%),4268,50.12,51.59,51.27,53.02,51.92
11.一般綠K(紡錘線),小漲(0~3%),中等波動(4~8%),3522,43.7,45.43,45.12,45.23,45.6
11.一般綠K(紡錘線),小漲(0~3%),低波動(<4%),31411,48.03,49.46,50.34,50.28,50.19
11.一般綠K(紡錘線),小漲(0~3%),劇烈波動(>8%),304,40.79,48.03,41.78,41.12,40.13
11.一般綠K(紡錘線),小跌(-3~0%),中等波動(4~8%),25944,46.28,47.74,48.08,47.88,48.0
11.一般綠K(紡錘線),小跌(-3~0%),低波動(<4%),128119,44.78,46.83,47.47,47.74,48.1
11.一般綠K(紡錘線),小跌(-3~0%),劇烈波動(>8%),1822,44.84,45.94,46.82,45.83,46.21
11.一般綠K(紡錘線),平盤(0%),中等波動(4~8%),1412,43.34,45.18,44.12,45.47,45.04
11.一般綠K(紡錘線),平盤(0%),低波動(<4%),18287,45.04,48.01,48.97,49.25,49.79
11.一般綠K(紡錘線),平盤(0%),劇烈波動(>8%),116,41.38,48.28,45.69,42.24,39.66
11.一般綠K(紡錘線),漲停或大漲(>8%),中等波動(4~8%),41,48.78,48.78,46.34,51.22,58.54
11.一般綠K(紡錘線),漲停或大漲(>8%),低波動(<4%),59,33.9,37.29,44.07,45.76,44.07
11.一般綠K(紡錘線),跌停或大跌(<-8%),中等波動(4~8%),141,54.61,58.87,54.61,51.77,53.19
11.一般綠K(紡錘線),跌停或大跌(<-8%),低波動(<4%),85,65.88,67.06,70.59,67.06,70.59
11.一般綠K(紡錘線),跌停或大跌(<-8%),劇烈波動(>8%),128,52.34,55.47,53.91,57.81,56.25
12.長上影線綠K,中漲(3~8%),中等波動(4~8%),2287,41.63,43.11,44.6,44.64,44.25
12.長上影線綠K,中漲(3~8%),低波動(<4%),2030,43.45,46.45,47.24,47.24,46.8
12.長上影線綠K,中漲(3~8%),劇烈波動(>8%),177,46.33,42.37,48.02,40.11,39.55
12.長上影線綠K,中跌(-8~-3%),中等波動(4~8%),17995,48.68,49.93,49.95,50.07,50.5
12.長上影線綠K,中跌(-8~-3%),低波動(<4%),12288,45.66,45.89,46.51,46.95,47.9
12.長上影線綠K,中跌(-8~-3%),劇烈波動(>8%),5354,48.79,50.0,49.79,50.65,50.62
12.長上影線綠K,小漲(0~3%),中等波動(4~8%),28275,44.15,45.42,45.58,45.47,45.04
12.長上影線綠K,小漲(0~3%),低波動(<4%),135965,47.58,49.27,49.58,49.53,49.67
12.長上影線綠K,小漲(0~3%),劇烈波動(>8%),2340,41.97,43.68,43.08,42.61,41.45
12.長上影線綠K,小跌(-3~0%),中等波動(4~8%),62155,44.84,46.5,46.21,46.24,46.33
12.長上影線綠K,小跌(-3~0%),低波動(<4%),344819,46.49,48.11,48.36,48.62,48.78
12.長上影線綠K,小跌(-3~0%),劇烈波動(>8%),6315,45.27,46.41,45.53,45.42,45.61
12.長上影線綠K,平盤(0%),中等波動(4~8%),8985,42.52,43.11,44.12,44.34,44.66
12.長上影線綠K,平盤(0%),低波動(<4%),71162,47.16,48.89,49.35,49.67,49.76
12.長上影線綠K,平盤(0%),劇烈波動(>8%),635,40.47,39.21,39.53,39.84,40.0
12.長上影線綠K,漲停或大漲(>8%),中等波動(4~8%),134,30.6,32.84,34.33,29.85,35.82
12.長上影線綠K,漲停或大漲(>8%),低波動(<4%),222,38.29,43.24,45.05,44.59,42.34
12.長上影線綠K,跌停或大跌(<-8%),中等波動(4~8%),1410,52.84,56.45,60.21,62.77,65.32
12.長上影線綠K,跌停或大跌(<-8%),低波動(<4%),926,45.14,47.95,56.26,60.58,64.79
12.長上影線綠K,跌停或大跌(<-8%),劇烈波動(>8%),746,57.77,56.3,57.51,60.32,61.8
2.T字線,中漲(3~8%),中等波動(4~8%),3382,46.98,45.24,46.33,45.21,45.03
2.T字線,中漲(3~8%),低波動(<4%),9047,54.79,52.54,52.34,51.69,51.11
