K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
1.一字線,0.超漲(>10%)(正2股/分割/除權息/異常),4.低波動(<5%),63.96,57.51,57.14,53.36,52.9,1085
1.一字線,1.漲停或暴漲(>8%),4.低波動(<5%),70.58,65.4,64.58,61.94,60.87,5615
1.一字線,10.大跌(-8~-6%),4.低波動(<5%),30.57,30.46,34.64,35.95,39.66,10540
1.一字線,11.跌停或暴跌(-8~-10%),4.低波動(<5%),23.91,23.25,32.16,35.48,40.71,3974
1.一字線,12.超跌(<-10%)(正2股/分割/除權息/異常),4.低波動(<5%),30.49,32.17,36.15,39.03,42.5,1007
1.一字線,2.大漲(8~6%),4.低波動(<5%),74.34,67.1,66.45,64.02,62.38,16928
1.一字線,3.中漲(6~4%),4.低波動(<5%),30.88,30.95,31.77,32.38,32.78,4488
1.一字線,4.小漲(4~2%),4.低波動(<5%),27.62,30.76,31.3,32.11,32.14,10556
1.一字線,5.小小漲(0~2%),4.低波動(<5%),33.93,37.89,39.58,40.08,40.97,36470
1.一字線,6.平盤(0%),4.低波動(<5%),31.62,37.15,39.38,40.68,41.66,57128
1.一字線,7.小小跌(-2~0%),4.低波動(<5%),41.28,44.97,46.11,45.87,45.85,38352
1.一字線,8.小跌(-4~-2%),4.低波動(<5%),47.72,52.0,51.34,50.47,50.07,12466
1.一字線,9.中跌(-6~-4%),4.低波動(<5%),51.73,54.24,55.75,55.45,54.75,4305
10.長下影線綠K,0.超漲(>10%)(正2股/分割/除權息/異常),2.高波動(10~15%),30.56,33.33,27.78,36.11,30.56,36
10.長下影線綠K,0.超漲(>10%)(正2股/分割/除權息/異常),3.中波動(5~10%),32.53,32.53,33.73,32.53,42.17,83
10.長下影線綠K,0.超漲(>10%)(正2股/分割/除權息/異常),4.低波動(<5%),36.6,40.21,43.81,42.27,40.72,194
10.長下影線綠K,1.漲停或暴漲(>8%),2.高波動(10~15%),41.18,41.18,44.12,41.18,38.24,34
10.長下影線綠K,1.漲停或暴漲(>8%),3.中波動(5~10%),34.5,35.66,36.05,34.88,35.66,258
10.長下影線綠K,1.漲停或暴漲(>8%),4.低波動(<5%),28.65,34.71,40.5,37.74,41.05,363
10.長下影線綠K,10.大跌(-8~-6%),1.劇烈波動(>15%),40.0,35.0,35.0,35.0,32.5,40
10.長下影線綠K,10.大跌(-8~-6%),2.高波動(10~15%),35.9,48.72,51.28,51.28,46.15,39
10.長下影線綠K,10.大跌(-8~-6%),3.中波動(5~10%),48.9,51.75,47.59,49.12,52.41,456
10.長下影線綠K,10.大跌(-8~-6%),4.低波動(<5%),48.64,49.14,52.35,52.1,50.86,405
10.長下影線綠K,11.跌停或暴跌(-8~-10%),3.中波動(5~10%),44.44,42.22,35.56,35.56,40.0,45
10.長下影線綠K,11.跌停或暴跌(-8~-10%),4.低波動(<5%),49.03,51.61,58.71,58.71,54.19,155
10.長下影線綠K,12.超跌(<-10%)(正2股/分割/除權息/異常),1.劇烈波動(>15%),40.0,30.0,36.67,36.67,30.0,30
10.長下影線綠K,12.超跌(<-10%)(正2股/分割/除權息/異常),3.中波動(5~10%),36.59,39.02,36.59,31.71,36.59,41
10.長下影線綠K,12.超跌(<-10%)(正2股/分割/除權息/異常),4.低波動(<5%),68.75,72.5,67.5,76.25,68.75,80
10.長下影線綠K,2.大漲(8~6%),2.高波動(10~15%),41.88,40.0,38.12,38.75,35.0,160
10.長下影線綠K,2.大漲(8~6%),3.中波動(5~10%),33.37,34.78,36.9,37.6,38.78,851
10.長下影線綠K,2.大漲(8~6%),4.低波動(<5%),39.07,42.99,45.64,44.76,43.71,1249
10.長下影線綠K,3.中漲(6~4%),1.劇烈波動(>15%),16.22,18.92,32.43,29.73,24.32,37
10.長下影線綠K,3.中漲(6~4%),2.高波動(10~15%),30.27,30.72,32.51,30.27,29.15,446
10.長下影線綠K,3.中漲(6~4%),3.中波動(5~10%),33.16,35.61,37.96,38.56,37.45,2168
10.長下影線綠K,3.中漲(6~4%),4.低波動(<5%),36.02,40.82,43.8,46.17,44.82,3251
10.長下影線綠K,4.小漲(4~2%),1.劇烈波動(>15%),14.29,23.21,21.43,26.79,25.0,56
10.長下影線綠K,4.小漲(4~2%),2.高波動(10~15%),32.06,33.65,34.61,35.25,36.84,627
10.長下影線綠K,4.小漲(4~2%),3.中波動(5~10%),37.24,39.3,41.15,40.72,40.77,3679
10.長下影線綠K,4.小漲(4~2%),4.低波動(<5%),40.92,44.48,45.48,45.96,45.91,13024
10.長下影線綠K,5.小小漲(0~2%),1.劇烈波動(>15%),24.14,31.03,36.21,37.93,31.03,58
10.長下影線綠K,5.小小漲(0~2%),2.高波動(10~15%),38.72,40.41,40.77,41.74,41.25,829
10.長下影線綠K,5.小小漲(0~2%),3.中波動(5~10%),39.77,42.58,42.73,43.64,43.65,8657
10.長下影線綠K,5.小小漲(0~2%),4.低波動(<5%),42.17,44.65,45.83,46.62,47.09,167270
10.長下影線綠K,6.平盤(0%),1.劇烈波動(>15%),36.36,30.3,33.33,42.42,33.33,33
10.長下影線綠K,6.平盤(0%),2.高波動(10~15%),33.15,35.6,39.95,41.03,36.68,368
10.長下影線綠K,6.平盤(0%),3.中波動(5~10%),38.61,40.21,41.8,41.87,41.97,4258
10.長下影線綠K,6.平盤(0%),4.低波動(<5%),38.74,42.33,43.86,44.82,45.42,77225
10.長下影線綠K,7.小小跌(-2~0%),1.劇烈波動(>15%),38.16,38.16,42.11,47.37,44.74,76
10.長下影線綠K,7.小小跌(-2~0%),2.高波動(10~15%),41.74,42.06,46.66,46.49,49.15,1241
10.長下影線綠K,7.小小跌(-2~0%),3.中波動(5~10%),39.36,41.06,42.47,42.94,43.12,25701
10.長下影線綠K,7.小小跌(-2~0%),4.低波動(<5%),39.49,42.32,43.61,44.61,45.18,330924
10.長下影線綠K,8.小跌(-4~-2%),1.劇烈波動(>15%),42.03,50.72,49.28,43.48,46.38,69
10.長下影線綠K,8.小跌(-4~-2%),2.高波動(10~15%),50.92,49.83,54.77,55.19,53.77,1194
10.長下影線綠K,8.小跌(-4~-2%),3.中波動(5~10%),41.29,44.39,45.55,46.25,46.26,17410
