K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
05.實體紅K(大陽線),05.2~4%,1.<5%,40.79,42.78,43.72,44.11,44.71,92725
09.實體綠K(大陰線),08.-2~0%,1.<5%,47.23,50.28,50.88,51.09,51.23,87099
05.實體紅K(大陽線),06.0~2%,1.<5%,41.01,43.91,45.0,45.76,46.44,82154
08.長上影線紅K,06.0~2%,1.<5%,45.04,46.11,46.64,47.24,47.44,69303
05.實體紅K(大陽線),03.6~8%,2.5~10%,49.61,47.7,47.73,47.25,46.77,61692
09.實體綠K(大陰線),09.-4~-2%,1.<5%,47.58,48.74,48.81,49.55,50.09,53607
05.實體紅K(大陽線),04.4~6%,2.5~10%,37.85,39.1,40.19,40.46,40.54,44552
10.長下影線綠K,08.-2~0%,1.<5%,37.56,41.28,42.98,44.33,45.04,34184
05.實體紅K(大陽線),02.8~10%,2.5~10%,50.37,47.01,47.29,45.77,44.84,33273
06.長下影線紅K,06.0~2%,1.<5%,38.79,41.58,43.0,43.85,44.6,29929
12.長上影線綠K,08.-2~0%,1.<5%,47.47,50.16,50.45,50.64,50.48,27398
05.實體紅K(大陽線),04.4~6%,1.<5%,40.15,42.5,43.4,43.57,44.2,27165
09.實體綠K(大陰線),10.-6~-4%,2.5~10%,50.51,51.16,50.68,51.86,52.37,22634
08.長上影線紅K,05.2~4%,1.<5%,41.28,42.27,43.6,43.82,44.17,22073
12.長上影線綠K,06.0~2%,1.<5%,45.02,46.56,46.94,46.88,47.35,22058
08.長上影線紅K,05.2~4%,2.5~10%,41.27,41.92,41.95,42.07,41.9,20575
04.十字線,06.0~2%,1.<5%,45.01,47.19,47.87,48.47,49.22,18461
09.實體綠K(大陰線),11.-8~-6%,2.5~10%,44.13,47.25,47.58,49.4,50.64,17318
05.實體紅K(大陽線),05.2~4%,2.5~10%,37.58,38.96,40.05,40.36,40.87,16544
09.實體綠K(大陰線),06.0~2%,1.<5%,44.44,47.36,47.75,48.09,48.52,15141
09.實體綠K(大陰線),09.-4~-2%,2.5~10%,45.85,48.02,47.88,48.27,49.11,15075
05.實體紅K(大陽線),03.6~8%,1.<5%,53.96,52.56,52.78,51.91,51.87,14291
10.長下影線綠K,06.0~2%,1.<5%,40.21,43.61,44.98,45.47,46.25,13140
07.紅K,06.0~2%,1.<5%,42.38,44.33,45.25,46.42,46.96,12496
08.長上影線紅K,06.0~2%,2.5~10%,43.77,43.86,44.04,43.7,44.11,11551
05.實體紅K(大陽線),08.-2~0%,1.<5%,36.72,39.99,42.14,42.7,43.27,11226
09.實體綠K(大陰線),10.-6~-4%,1.<5%,50.11,49.72,48.25,49.21,49.86,10821
04.十字線,08.-2~0%,1.<5%,42.59,44.18,46.0,46.8,47.37,10637
04.十字線,07.0%,1.<5%,40.41,45.25,46.26,46.58,46.96,10583
11.綠K,08.-2~0%,1.<5%,44.73,47.77,48.45,49.08,49.15,9080
07.紅K,05.2~4%,1.<5%,40.37,42.39,43.65,43.75,44.07,8794
09.實體綠K(大陰線),07.0%,1.<5%,44.96,49.62,50.43,50.98,51.17,8320
06.長下影線紅K,08.-2~0%,1.<5%,34.61,36.99,39.02,40.23,42.05,7948
08.長上影線紅K,08.-2~0%,1.<5%,47.94,49.68,50.06,50.17,50.26,7726
12.長上影線綠K,07.0%,1.<5%,44.43,46.42,46.38,48.06,48.02,7647
05.實體紅K(大陽線),07.0%,1.<5%,31.87,37.18,38.65,40.1,41.25,7424
06.長下影線紅K,05.2~4%,1.<5%,41.27,43.09,44.85,45.06,46.05,6980
12.長上影線綠K,08.-2~0%,2.5~10%,43.99,45.55,45.79,46.05,45.4,6867
12.長上影線綠K,06.0~2%,2.5~10%,42.74,44.04,43.6,43.49,43.25,6458
09.實體綠K(大陰線),08.-2~0%,2.5~10%,40.97,44.22,43.98,44.5,44.4,6098
08.長上影線紅K,04.4~6%,2.5~10%,41.61,41.79,42.54,41.76,41.68,6005
10.長下影線綠K,07.0%,1.<5%,36.41,40.57,43.14,44.66,45.13,5809
09.實體綠K(大陰線),12.-10~-8%,2.5~10%,50.83,53.83,52.26,55.05,57.77,5409
10.長下影線綠K,08.-2~0%,2.5~10%,35.07,37.89,39.95,40.53,41.45,5333
02.T字線,07.0%,1.<5%,28.89,34.17,36.66,39.22,41.61,5310
02.T字線,06.0~2%,1.<5%,35.68,41.47,43.65,45.32,46.14,4893
07.紅K,05.2~4%,2.5~10%,38.39,40.19,41.49,41.08,40.55,4692
10.長下影線綠K,09.-4~-2%,1.<5%,39.6,42.39,42.65,44.46,45.22,4687
10.長下影線綠K,09.-4~-2%,2.5~10%,37.22,41.57,43.03,44.94,44.42,4595
06.長下影線紅K,07.0%,1.<5%,30.33,35.34,37.17,39.14,40.73,4494
09.實體綠K(大陰線),06.0~2%,2.5~10%,38.84,41.25,40.41,40.92,40.87,4392
