K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
09.實體綠K(大陰線),08.-2~0%,1.<5%,46.61,49.2,50.07,50.32,50.53,345026
05.實體紅K(大陽線),06.0~2%,1.<5%,41.64,44.46,45.64,46.42,47.15,247806
08.長上影線紅K,06.0~2%,1.<5%,46.12,47.54,48.1,48.6,48.88,185135
05.實體紅K(大陽線),05.2~4%,1.<5%,41.16,43.37,44.36,44.88,45.51,181535
09.實體綠K(大陰線),09.-4~-2%,1.<5%,47.57,48.81,49.14,49.8,50.1,160018
10.長下影線綠K,08.-2~0%,1.<5%,38.78,42.25,43.93,45.21,45.79,114253
12.長上影線綠K,08.-2~0%,1.<5%,47.16,49.52,49.86,50.25,50.4,107281
06.長下影線紅K,06.0~2%,1.<5%,40.4,43.06,44.32,45.11,45.69,103884
05.實體紅K(大陽線),03.6~8%,2.5~10%,50.1,48.28,48.16,47.53,47.25,85940
05.實體紅K(大陽線),04.4~6%,2.5~10%,38.37,39.7,40.75,41.17,41.31,66254
12.長上影線綠K,06.0~2%,1.<5%,46.27,47.94,48.21,48.44,48.73,61148
04.十字線,06.0~2%,1.<5%,45.42,47.84,48.63,49.28,49.96,58873
09.實體綠K(大陰線),10.-6~-4%,2.5~10%,51.22,52.41,52.16,52.63,52.95,53265
10.長下影線綠K,06.0~2%,1.<5%,41.83,44.7,45.99,46.92,47.69,49903
09.實體綠K(大陰線),06.0~2%,1.<5%,46.06,48.66,49.3,49.55,49.95,47775
05.實體紅K(大陽線),04.4~6%,1.<5%,39.9,42.81,43.66,44.24,44.95,44574
09.實體綠K(大陰線),09.-4~-2%,2.5~10%,48.44,50.11,50.16,50.61,50.56,41981
04.十字線,07.0%,1.<5%,41.55,45.37,46.92,47.5,48.18,41370
07.紅K,06.0~2%,1.<5%,43.45,45.47,46.45,47.29,48.01,40830
05.實體紅K(大陽線),02.8~10%,2.5~10%,50.64,47.6,48.01,46.38,45.5,40687
11.綠K,08.-2~0%,1.<5%,44.78,47.81,48.62,49.16,49.38,39264
08.長上影線紅K,05.2~4%,1.<5%,42.08,43.77,45.05,45.25,45.67,37921
09.實體綠K(大陰線),11.-8~-6%,2.5~10%,44.5,48.43,48.63,50.21,51.04,35684
04.十字線,08.-2~0%,1.<5%,42.46,44.71,46.0,46.7,47.53,34829
05.實體紅K(大陽線),08.-2~0%,1.<5%,38.17,41.64,43.04,43.59,44.47,32452
09.實體綠K(大陰線),07.0%,1.<5%,45.87,49.47,50.74,51.26,51.13,31791
05.實體紅K(大陽線),05.2~4%,2.5~10%,38.64,40.0,40.69,41.28,42.02,30724
08.長上影線紅K,05.2~4%,2.5~10%,41.74,42.38,42.55,42.75,42.76,29619
08.長上影線紅K,08.-2~0%,1.<5%,48.67,50.2,50.1,50.31,50.29,28321
12.長上影線綠K,07.0%,1.<5%,46.41,48.55,49.29,49.67,50.01,26364
06.長下影線紅K,08.-2~0%,1.<5%,36.22,38.69,40.86,41.84,43.26,23700
09.實體綠K(大陰線),10.-6~-4%,1.<5%,50.4,50.46,49.09,49.94,50.18,23695
05.實體紅K(大陽線),07.0%,1.<5%,33.02,38.29,39.99,41.51,42.22,23246
10.長下影線綠K,07.0%,1.<5%,38.3,42.45,44.24,45.45,46.08,23091
05.實體紅K(大陽線),03.6~8%,1.<5%,54.82,53.98,54.04,53.09,52.82,21829
08.長上影線紅K,06.0~2%,2.5~10%,43.71,43.57,44.03,44.07,44.55,20746
07.紅K,05.2~4%,1.<5%,41.01,43.29,44.84,44.94,45.47,17644
06.長下影線紅K,05.2~4%,1.<5%,42.32,44.51,45.7,45.88,46.47,17272
02.T字線,07.0%,1.<5%,29.55,34.93,37.78,40.58,41.9,16530
06.長下影線紅K,07.0%,1.<5%,33.03,37.49,39.41,40.88,42.26,14779
08.長上影線紅K,07.0%,1.<5%,45.02,48.31,49.32,48.92,49.81,14376
02.T字線,06.0~2%,1.<5%,35.75,40.7,43.04,44.63,45.56,14328
12.長上影線綠K,08.-2~0%,2.5~10%,43.66,45.34,45.86,46.34,45.71,14170
09.實體綠K(大陰線),08.-2~0%,2.5~10%,43.51,46.0,46.37,46.62,46.12,13076
03.倒T字線,07.0%,1.<5%,48.45,51.45,52.2,53.08,53.22,12757
10.長下影線綠K,08.-2~0%,2.5~10%,37.92,40.11,42.2,42.81,42.97,12668
12.長上影線綠K,09.-4~-2%,1.<5%,49.33,49.78,49.46,50.08,50.35,11578
10.長下影線綠K,09.-4~-2%,1.<5%,42.29,44.07,44.76,46.23,46.53,11067
03.倒T字線,08.-2~0%,1.<5%,50.73,50.91,51.98,51.69,52.07,10710
11.綠K,06.0~2%,1.<5%,46.71,47.98,49.34,49.4,49.85,10629
01.一字線,07.0%,1.<5%,28.33,35.03,38.15,39.47,41.15,10318
12.長上影線綠K,06.0~2%,2.5~10%,43.08,44.41,44.3,44.23,43.93,10140
10.長下影線綠K,09.-4~-2%,2.5~10%,39.57,43.35,45.07,46.19,46.02,9667
03.倒T字線,06.0~2%,1.<5%,48.51,50.73,51.2,51.36,52.1,8681
02.T字線,08.-2~0%,1.<5%,33.06,37.71,39.32,40.84,41.19,8624
07.紅K,05.2~4%,2.5~10%,39.47,40.87,42.32,41.93,41.94,8328
09.實體綠K(大陰線),12.-10~-8%,2.5~10%,51.65,54.02,52.93,55.68,58.39,8270
05.實體紅K(大陽線),06.0~2%,2.5~10%,39.57,42.56,43.82,44.23,43.88,7960
06.長下影線紅K,06.0~2%,2.5~10%,36.93,39.43,41.2,41.64,42.03,7806
08.長上影線紅K,04.4~6%,2.5~10%,41.92,42.63,43.42,42.74,42.72,7664
06.長下影線紅K,05.2~4%,2.5~10%,38.43,39.77,40.8,40.86,42.3,7180
01.一字線,03.6~8%,1.<5%,75.19,67.02,66.03,63.34,61.59,6964
09.實體綠K(大陰線),11.-8~-6%,3.10~15%,49.02,50.84,53.54,54.92,53.95,6944
09.實體綠K(大陰線),06.0~2%,2.5~10%,39.89,42.24,41.93,42.69,42.24,6846
