K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
09.實體綠K(大陰線),08.-2~0%,1.<5%,44.66,46.05,46.32,46.23,46.59,196952
05.實體紅K(大陽線),06.0~2%,1.<5%,38.28,41.16,42.64,43.72,44.19,114511
12.長上影線綠K,08.-2~0%,1.<5%,44.6,45.48,45.68,45.95,46.03,57441
08.長上影線紅K,06.0~2%,1.<5%,45.61,46.75,47.62,48.01,48.18,55482
10.長下影線綠K,08.-2~0%,1.<5%,38.82,40.74,41.77,42.35,42.74,53867
09.實體綠K(大陰線),09.-4~-2%,1.<5%,47.29,47.53,47.18,46.68,46.38,51509
06.長下影線紅K,06.0~2%,1.<5%,39.25,41.81,43.44,44.25,44.7,41916
09.實體綠K(大陰線),06.0~2%,1.<5%,43.52,45.64,46.6,46.98,47.0,37226
01.一字線,07.0%,1.<5%,32.2,37.28,39.25,40.57,41.32,34155
05.實體紅K(大陽線),08.-2~0%,1.<5%,39.46,42.42,42.93,43.37,43.78,33602
10.長下影線綠K,06.0~2%,1.<5%,40.02,41.95,43.32,44.14,44.57,30763
09.實體綠K(大陰線),07.0%,1.<5%,43.97,46.1,46.46,46.77,47.12,27453
01.一字線,08.-2~0%,1.<5%,41.76,45.3,46.17,45.63,45.83,25775
01.一字線,06.0~2%,1.<5%,32.42,36.11,37.68,38.43,39.44,25452
05.實體紅K(大陽線),05.2~4%,1.<5%,37.71,40.19,42.18,42.57,43.07,23986
08.長上影線紅K,08.-2~0%,1.<5%,47.18,47.43,47.55,47.85,47.6,23731
04.十字線,06.0~2%,1.<5%,42.91,45.22,46.06,46.95,47.22,22462
05.實體紅K(大陽線),07.0%,1.<5%,34.1,37.48,38.91,40.28,41.16,22292
04.十字線,07.0%,1.<5%,40.78,42.96,44.47,45.27,45.18,21864
11.綠K,08.-2~0%,1.<5%,43.41,44.69,45.4,45.17,45.65,19130
04.十字線,08.-2~0%,1.<5%,42.4,43.36,44.01,45.08,45.27,18559
12.長上影線綠K,06.0~2%,1.<5%,46.26,47.75,48.88,48.85,48.59,17044
10.長下影線綠K,07.0%,1.<5%,37.48,40.32,40.87,41.89,42.66,13325
07.紅K,06.0~2%,1.<5%,41.7,43.32,44.69,46.09,46.22,12301
02.T字線,07.0%,1.<5%,31.07,35.68,37.86,38.82,40.24,12224
12.長上影線綠K,07.0%,1.<5%,46.05,46.64,46.76,47.42,47.56,11100
02.T字線,06.0~2%,1.<5%,33.8,37.74,40.25,41.49,42.45,11074
06.長下影線紅K,08.-2~0%,1.<5%,38.35,41.24,41.59,42.25,42.77,10937
03.倒T字線,07.0%,1.<5%,45.28,47.68,49.0,48.54,49.53,9508
03.倒T字線,08.-2~0%,1.<5%,49.56,49.69,48.48,48.96,48.91,9503
09.實體綠K(大陰線),09.-4~-2%,2.5~10%,47.64,48.94,49.11,47.87,48.11,9186
08.長上影線紅K,07.0%,1.<5%,44.38,44.79,45.26,46.15,46.81,8899
09.實體綠K(大陰線),10.-6~-4%,2.5~10%,51.46,51.08,50.88,50.83,50.46,8620
01.一字線,09.-4~-2%,1.<5%,48.24,53.37,52.36,50.93,50.41,8347
01.一字線,05.2~4%,1.<5%,24.93,27.75,28.36,29.44,29.81,7521
06.長下影線紅K,07.0%,1.<5%,34.94,38.08,39.42,40.19,41.24,7021
02.T字線,08.-2~0%,1.<5%,35.1,38.89,40.0,40.58,41.75,6390
01.一字線,11.-8~-6%,1.<5%,28.05,28.32,32.17,33.03,37.62,5928
12.長上影線綠K,09.-4~-2%,1.<5%,48.04,47.45,46.09,46.18,46.19,5853
09.實體綠K(大陰線),10.-6~-4%,1.<5%,50.63,51.25,49.94,49.93,49.16,5347
01.一字線,03.6~8%,1.<5%,70.15,64.26,64.12,62.24,60.85,5170
03.倒T字線,06.0~2%,1.<5%,46.75,48.41,49.72,50.59,50.59,4922
09.實體綠K(大陰線),11.-8~-6%,2.5~10%,42.37,45.95,46.87,47.89,47.97,4806
11.綠K,06.0~2%,1.<5%,48.07,48.46,49.27,48.65,48.16,4715
05.實體紅K(大陽線),04.4~6%,1.<5%,37.06,40.52,40.94,41.13,41.63,3764
05.實體紅K(大陽線),03.6~8%,2.5~10%,55.28,52.55,53.36,52.29,52.96,3663
05.實體紅K(大陽線),05.2~4%,2.5~10%,37.82,38.35,40.01,40.84,41.41,3485
06.長下影線紅K,05.2~4%,1.<5%,39.88,43.21,44.56,44.7,45.2,3410
05.實體紅K(大陽線),04.4~6%,2.5~10%,37.19,39.31,40.8,41.21,42.08,3308
05.實體紅K(大陽線),09.-4~-2%,1.<5%,47.13,47.32,49.38,48.63,46.66,3208
08.長上影線紅K,09.-4~-2%,1.<5%,52.3,51.44,50.54,50.61,50.54,3134
11.綠K,07.0%,1.<5%,43.76,46.64,47.37,47.3,47.53,3039
07.紅K,08.-2~0%,1.<5%,41.17,43.88,43.44,44.52,43.98,2951
01.一字線,04.4~6%,1.<5%,28.25,27.4,28.26,29.49,30.38,2942
10.長下影線綠K,09.-4~-2%,1.<5%,44.63,47.09,46.95,45.89,46.46,2924
09.實體綠K(大陰線),08.-2~0%,2.5~10%,44.48,45.5,47.65,47.39,48.46,2772
10.長下影線綠K,08.-2~0%,2.5~10%,38.06,39.82,39.82,39.37,39.03,2723
08.長上影線紅K,05.2~4%,1.<5%,45.05,47.13,47.98,48.28,47.76,2699
01.一字線,10.-6~-4%,1.<5%,53.79,57.16,57.93,58.18,57.22,2600
05.實體紅K(大陽線),06.0~2%,2.5~10%,39.48,42.24,43.36,44.33,45.31,2533
01.一字線,12.-10~-8%,1.<5%,19.2,18.64,24.67,27.53,32.19,2277
05.實體紅K(大陽線),08.-2~0%,2.5~10%,38.93,40.49,43.03,43.15,42.7,2119
03.倒T字線,09.-4~-2%,1.<5%,50.55,52.64,49.81,48.44,49.49,2081
09.實體綠K(大陰線),05.2~4%,1.<5%,35.51,38.32,39.19,39.09,39.67,2067
11.綠K,09.-4~-2%,1.<5%,46.51,46.9,44.38,44.92,44.18,2047
05.實體紅K(大陽線),03.6~8%,1.<5%,58.85,59.31,57.72,56.74,56.38,1944
12.長上影線綠K,08.-2~0%,2.5~10%,46.88,46.64,45.82,44.89,44.06,1893
10.長下影線綠K,05.2~4%,1.<5%,37.12,42.19,43.67,43.91,42.11,1891
08.長上影線紅K,06.0~2%,2.5~10%,42.31,43.85,44.56,43.36,44.74,1879
04.十字線,09.-4~-2%,1.<5%,47.87,48.82,47.22,47.87,47.69,1688
01.一字線,02.8~10%,1.<5%,64.53,61.03,61.45,59.09,58.16,1669
09.實體綠K(大陰線),11.-8~-6%,1.<5%,40.39,42.48,43.19,44.8,41.83,1550
10.長下影線綠K,09.-4~-2%,2.5~10%,43.08,46.9,46.5,46.4,47.26,1519
