K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
09.實體綠K(大陰線),08.-2~0%,1.<5%,45.37,47.2,47.72,47.94,48.2,792793
05.實體紅K(大陽線),06.0~2%,1.<5%,40.39,43.24,44.81,45.69,46.31,412791
08.長上影線紅K,06.0~2%,1.<5%,46.92,48.37,48.94,49.3,49.49,248192
12.長上影線綠K,08.-2~0%,1.<5%,45.87,47.25,47.45,47.61,47.85,244785
09.實體綠K(大陰線),09.-4~-2%,1.<5%,47.26,47.93,47.79,47.72,47.82,232673
10.長下影線綠K,08.-2~0%,1.<5%,39.83,42.34,43.43,44.29,44.86,216972
06.長下影線紅K,06.0~2%,1.<5%,40.9,43.2,44.5,45.38,45.94,186693
05.實體紅K(大陽線),05.2~4%,1.<5%,40.33,43.13,44.69,45.33,45.86,119419
10.長下影線綠K,06.0~2%,1.<5%,42.3,44.63,45.76,46.49,46.83,117474
09.實體綠K(大陰線),06.0~2%,1.<5%,45.73,48.2,48.96,49.26,49.27,114651
04.十字線,06.0~2%,1.<5%,44.64,46.94,47.89,48.5,48.63,99436
04.十字線,07.0%,1.<5%,41.83,44.58,45.78,46.57,47.08,92437
11.綠K,08.-2~0%,1.<5%,44.72,46.44,47.0,47.19,47.6,90116
09.實體綠K(大陰線),07.0%,1.<5%,44.99,47.51,48.27,48.71,49.0,88971
05.實體紅K(大陽線),08.-2~0%,1.<5%,39.7,42.93,43.62,44.2,44.79,83613
12.長上影線綠K,06.0~2%,1.<5%,48.2,49.74,50.0,49.79,49.75,83128
08.長上影線紅K,08.-2~0%,1.<5%,47.91,48.56,48.78,48.97,49.06,79008
04.十字線,08.-2~0%,1.<5%,42.47,44.35,45.11,45.91,46.49,70807
07.紅K,06.0~2%,1.<5%,43.26,45.23,46.64,47.51,48.02,61451
05.實體紅K(大陽線),07.0%,1.<5%,34.64,38.64,40.36,41.71,42.64,58995
10.長下影線綠K,07.0%,1.<5%,38.9,42.27,43.69,44.55,45.14,54077
09.實體綠K(大陰線),09.-4~-2%,2.5~10%,49.03,49.87,49.87,49.57,49.62,51384
12.長上影線綠K,07.0%,1.<5%,47.09,48.5,48.84,49.13,49.12,49564
09.實體綠K(大陰線),10.-6~-4%,2.5~10%,51.59,51.81,51.72,51.58,50.95,49039
01.一字線,07.0%,1.<5%,32.26,37.56,39.6,40.89,41.72,46615
06.長下影線紅K,08.-2~0%,1.<5%,39.41,41.86,42.42,43.28,44.22,42361
02.T字線,07.0%,1.<5%,31.05,35.98,38.37,39.91,41.31,36486
08.長上影線紅K,07.0%,1.<5%,45.98,47.1,47.84,47.94,48.8,33603
01.一字線,08.-2~0%,1.<5%,41.53,45.22,46.39,46.02,45.99,33465
01.一字線,06.0~2%,1.<5%,33.19,37.11,38.76,39.28,40.37,31959
02.T字線,06.0~2%,1.<5%,34.57,39.07,41.03,42.48,43.56,31357
03.倒T字線,07.0%,1.<5%,47.16,49.16,50.15,50.06,50.65,30074
06.長下影線紅K,07.0%,1.<5%,35.88,39.31,41.0,41.85,43.07,27899
09.實體綠K(大陰線),11.-8~-6%,2.5~10%,44.18,47.84,48.24,49.33,49.82,26011
03.倒T字線,08.-2~0%,1.<5%,48.83,49.63,49.28,49.74,49.69,25844
12.長上影線綠K,09.-4~-2%,1.<5%,47.3,47.71,46.84,46.97,46.8,22802
09.實體綠K(大陰線),10.-6~-4%,1.<5%,50.46,50.7,49.76,49.68,49.61,22060
11.綠K,06.0~2%,1.<5%,48.43,49.82,50.4,50.38,50.05,21344
05.實體紅K(大陽線),05.2~4%,2.5~10%,39.15,40.96,42.26,42.19,42.94,18095
06.長下影線紅K,05.2~4%,1.<5%,41.81,44.61,45.73,46.09,46.37,18008
05.實體紅K(大陽線),04.4~6%,1.<5%,38.66,42.2,44.34,45.32,45.65,17629
05.實體紅K(大陽線),04.4~6%,2.5~10%,38.18,39.9,41.44,41.48,41.85,17581
02.T字線,08.-2~0%,1.<5%,34.35,37.82,39.62,40.18,41.5,16905
08.長上影線紅K,05.2~4%,1.<5%,45.84,48.4,49.49,49.39,49.19,16418
05.實體紅K(大陽線),03.6~8%,2.5~10%,54.1,52.24,52.19,51.22,50.5,16323
03.倒T字線,06.0~2%,1.<5%,48.85,50.49,51.08,51.66,51.85,14923
11.綠K,07.0%,1.<5%,45.3,47.9,48.82,48.81,49.23,13695
10.長下影線綠K,08.-2~0%,2.5~10%,40.74,41.97,42.73,43.08,43.29,13073
09.實體綠K(大陰線),08.-2~0%,2.5~10%,45.57,46.96,48.08,47.56,47.51,12771
10.長下影線綠K,09.-4~-2%,1.<5%,43.94,45.02,45.37,45.58,46.2,12128
07.紅K,08.-2~0%,1.<5%,42.62,44.63,45.02,45.84,45.58,10985
01.一字線,09.-4~-2%,1.<5%,48.3,52.5,51.77,50.76,50.48,10744
12.長上影線綠K,08.-2~0%,2.5~10%,43.68,45.91,45.27,44.66,45.01,10599
07.紅K,05.2~4%,1.<5%,42.59,44.96,46.94,47.23,47.39,10466
08.長上影線紅K,06.0~2%,2.5~10%,43.88,44.31,43.85,43.85,44.18,10464
05.實體紅K(大陽線),06.0~2%,2.5~10%,41.98,44.03,45.02,45.73,46.58,10138
01.一字線,03.6~8%,1.<5%,73.42,66.81,66.42,64.13,62.55,9798
11.綠K,09.-4~-2%,1.<5%,47.2,47.18,47.05,46.35,46.99,9672
08.長上影線紅K,09.-4~-2%,1.<5%,50.99,50.57,50.22,49.87,49.57,9582
01.一字線,05.2~4%,1.<5%,25.94,29.05,29.46,30.51,30.83,9132
05.實體紅K(大陽線),09.-4~-2%,1.<5%,47.06,47.49,48.8,48.56,47.45,8206
01.一字線,11.-8~-6%,1.<5%,29.75,29.62,33.71,34.72,39.15,8166
12.長上影線綠K,09.-4~-2%,2.5~10%,47.96,49.29,48.25,47.65,48.01,7863
05.實體紅K(大陽線),03.6~8%,1.<5%,60.5,60.49,59.71,58.89,57.48,7806
10.長下影線綠K,09.-4~-2%,2.5~10%,43.37,45.6,46.09,46.29,46.57,7751
06.長下影線紅K,06.0~2%,2.5~10%,40.66,42.32,43.08,43.15,43.13,7426
10.長下影線綠K,05.2~4%,1.<5%,40.9,44.78,45.83,46.12,45.7,6965
05.實體紅K(大陽線),08.-2~0%,2.5~10%,41.66,43.6,45.56,45.12,45.26,6642
11.綠K,09.-4~-2%,2.5~10%,48.5,48.81,48.65,48.91,48.56,6470
08.長上影線紅K,05.2~4%,2.5~10%,41.65,43.1,43.6,44.1,43.5,6373
07.紅K,07.0%,1.<5%,40.96,44.17,45.21,45.75,46.77,6010
04.十字線,09.-4~-2%,1.<5%,46.63,47.34,46.51,47.01,46.57,5913
09.實體綠K(大陰線),05.2~4%,1.<5%,38.88,41.22,42.93,42.71,43.58,5390
05.實體紅K(大陽線),02.8~10%,2.5~10%,54.93,53.59,56.81,56.23,56.96,5173
09.實體綠K(大陰線),11.-8~-6%,1.<5%,40.84,43.26,44.19,45.86,44.73,4989
06.長下影線紅K,05.2~4%,2.5~10%,40.1,41.63,42.9,43.41,43.84,4943
03.倒T字線,09.-4~-2%,1.<5%,48.52,49.48,48.78,46.08,48.1,4899
04.十字線,05.2~4%,1.<5%,44.81,46.7,47.89,49.02,48.76,4707
