K線型態,漲跌幅等級,振幅等級,出現次數,T+1勝率(%),T+2勝率(%),T+3勝率(%),T+4勝率(%),T+5勝率(%)
9.實體綠K(大陰線),08.-2~0%,1.<5%,452045,46.52,49.08,49.81,50.0,50.22
5.實體紅K(大陽線),06.0~2%,1.<5%,310340,41.05,43.74,45.11,45.81,46.6
8.長上影線紅K,06.0~2%,1.<5%,225566,46.18,47.49,47.94,48.26,48.62
5.實體紅K(大陽線),05.2~4%,1.<5%,202897,40.8,43.05,44.04,44.54,45.21
9.實體綠K(大陰線),09.-4~-2%,1.<5%,189210,48.1,49.46,49.68,50.17,50.5
10.長下影線綠K,08.-2~0%,1.<5%,138728,38.7,42.11,43.87,45.0,45.6
12.長上影線綠K,08.-2~0%,1.<5%,138366,46.96,49.07,49.36,49.59,49.78
6.長下影線紅K,06.0~2%,1.<5%,125694,40.04,42.57,43.83,44.66,45.37
5.實體紅K(大陽線),03.6~8%,2.5~10%,87605,50.2,48.34,48.13,47.43,47.2
12.長上影線綠K,06.0~2%,1.<5%,73907,46.81,48.38,48.59,48.6,48.78
4.十字線,06.0~2%,1.<5%,71842,45.13,47.5,48.26,48.82,49.31
5.實體紅K(大陽線),04.4~6%,2.5~10%,68807,38.28,39.51,40.53,40.89,41.08
9.實體綠K(大陰線),06.0~2%,1.<5%,62110,45.97,48.72,49.31,49.66,49.68
10.長下影線綠K,06.0~2%,1.<5%,61712,41.46,44.21,45.3,46.18,46.89
9.實體綠K(大陰線),10.-6~-4%,2.5~10%,57521,52.17,53.46,53.21,53.7,53.72
4.十字線,07.0%,1.<5%,53189,41.37,45.26,46.4,47.03,47.67
11.一般綠K(紡錘線),08.-2~0%,1.<5%,48711,44.96,47.76,48.69,48.92,49.01
7.一般紅K(紡錘線),06.0~2%,1.<5%,48597,42.92,44.75,45.9,46.91,47.75
5.實體紅K(大陽線),04.4~6%,1.<5%,47648,39.91,42.69,43.45,44.0,44.69
5.實體紅K(大陽線),08.-2~0%,1.<5%,45188,37.85,41.64,42.96,43.49,44.31
9.實體綠K(大陰線),09.-4~-2%,2.5~10%,44934,49.67,51.41,51.41,51.52,51.5
9.實體綠K(大陰線),07.0%,1.<5%,44049,45.05,48.55,49.79,50.32,50.26
4.十字線,08.-2~0%,1.<5%,43870,42.22,44.44,46.0,46.55,47.35
8.長上影線紅K,05.2~4%,1.<5%,41198,42.48,43.99,45.11,45.38,45.83
5.實體紅K(大陽線),02.8~10%,2.5~10%,40308,50.53,47.39,47.73,46.11,45.36
8.長上影線紅K,08.-2~0%,1.<5%,37831,48.71,49.93,50.17,50.18,50.23
9.實體綠K(大陰線),11.-8~-6%,2.5~10%,37169,45.35,49.39,49.51,51.01,52.13
12.長上影線綠K,07.0%,1.<5%,33596,46.37,48.43,48.93,49.17,49.42
5.實體紅K(大陽線),05.2~4%,2.5~10%,33107,38.35,39.68,40.48,41.28,41.97
5.實體紅K(大陽線),07.0%,1.<5%,32806,33.05,38.18,39.76,41.15,42.03
8.長上影線紅K,05.2~4%,2.5~10%,30556,41.6,42.14,42.2,42.61,42.6
10.長下影線綠K,07.0%,1.<5%,29102,37.76,41.5,43.46,44.54,45.27
6.長下影線紅K,08.-2~0%,1.<5%,28830,36.85,39.8,41.2,42.22,43.36
9.實體綠K(大陰線),10.-6~-4%,1.<5%,25576,50.97,51.3,50.21,51.06,51.26
2.T字線,07.0%,1.<5%,22234,29.37,34.58,37.53,39.76,41.16
5.實體紅K(大陽線),03.6~8%,1.<5%,21880,54.68,53.84,53.62,52.59,52.55
8.長上影線紅K,06.0~2%,2.5~10%,21719,43.92,43.96,43.97,44.11,44.69
1.一字線,07.0%,1.<5%,21425,29.26,35.26,37.72,38.9,40.39
7.一般紅K(紡錘線),05.2~4%,1.<5%,19540,41.09,43.33,44.89,44.84,45.42
6.長下影線紅K,05.2~4%,1.<5%,19261,41.55,44.19,45.21,45.38,46.07
2.T字線,06.0~2%,1.<5%,19210,34.77,39.54,41.76,43.08,44.0
8.長上影線紅K,07.0%,1.<5%,19032,45.24,47.81,49.03,48.81,49.49
6.長下影線紅K,07.0%,1.<5%,18381,33.21,37.78,39.43,40.74,42.2
3.倒T字線,07.0%,1.<5%,17514,47.5,50.25,50.98,51.47,51.82
3.倒T字線,08.-2~0%,1.<5%,15161,49.71,49.83,50.7,50.72,50.95
12.長上影線綠K,08.-2~0%,2.5~10%,14047,43.89,45.63,45.75,45.98,45.79
12.長上影線綠K,09.-4~-2%,1.<5%,13554,48.96,50.04,49.92,50.03,50.28
10.長下影線綠K,08.-2~0%,2.5~10%,12914,37.2,39.83,41.79,42.29,42.63
11.一般綠K(紡錘線),06.0~2%,1.<5%,12827,47.99,49.04,49.8,49.63,50.05
9.實體綠K(大陰線),08.-2~0%,2.5~10%,12647,44.63,46.29,46.75,46.4,46.1
10.長下影線綠K,09.-4~-2%,1.<5%,12026,42.69,44.48,45.21,46.59,47.1
2.T字線,08.-2~0%,1.<5%,11400,33.09,37.64,39.34,40.68,41.42
3.倒T字線,06.0~2%,1.<5%,11128,48.84,51.2,51.34,51.43,52.24
1.一字線,08.-2~0%,1.<5%,11014,39.09,43.15,44.29,44.58,44.73
12.長上影線綠K,06.0~2%,2.5~10%,10143,43.18,44.34,44.15,43.98,43.87
10.長下影線綠K,09.-4~-2%,2.5~10%,10069,39.78,43.5,45.3,46.29,46.16
1.一字線,06.0~2%,1.<5%,9451,36.22,39.98,41.79,42.38,43.01
5.實體紅K(大陽線),06.0~2%,2.5~10%,8915,39.06,41.29,42.72,43.2,43.8
