K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
09.實體綠K(大陰線),08.-2~0%,1.<5%,45.24,46.97,47.51,47.77,48.04,685992
05.實體紅K(大陽線),06.0~2%,1.<5%,40.69,43.65,45.12,46.1,46.64,350463
12.長上影線綠K,08.-2~0%,1.<5%,45.8,47.2,47.41,47.64,47.87,213824
08.長上影線紅K,06.0~2%,1.<5%,47.0,48.58,49.27,49.79,49.89,207932
09.實體綠K(大陰線),09.-4~-2%,1.<5%,46.71,47.19,47.08,47.06,47.11,203722
10.長下影線綠K,08.-2~0%,1.<5%,40.02,42.45,43.41,44.31,44.87,192649
06.長下影線紅K,06.0~2%,1.<5%,41.25,43.59,44.89,45.76,46.21,164972
10.長下影線綠K,06.0~2%,1.<5%,42.56,44.9,46.13,46.87,47.2,105702
09.實體綠K(大陰線),06.0~2%,1.<5%,45.73,48.09,48.9,49.15,49.34,100357
05.實體紅K(大陽線),05.2~4%,1.<5%,40.91,43.73,45.43,46.13,46.57,98234
04.十字線,06.0~2%,1.<5%,44.76,47.08,48.1,48.76,48.96,86561
11.綠K,08.-2~0%,1.<5%,44.6,46.3,46.76,47.1,47.61,80703
04.十字線,07.0%,1.<5%,41.99,44.54,45.95,46.74,47.25,80666
09.實體綠K(大陰線),07.0%,1.<5%,45.32,47.72,48.41,48.84,49.15,76751
05.實體紅K(大陽線),08.-2~0%,1.<5%,40.19,43.13,43.76,44.36,44.95,70962
12.長上影線綠K,06.0~2%,1.<5%,47.97,49.6,49.94,49.87,49.88,70424
08.長上影線紅K,08.-2~0%,1.<5%,47.77,48.46,48.54,48.84,48.9,69570
04.十字線,08.-2~0%,1.<5%,42.65,44.49,44.98,45.9,46.46,61865
07.紅K,06.0~2%,1.<5%,43.71,45.84,47.16,47.88,48.26,53711
05.實體紅K(大陽線),07.0%,1.<5%,34.92,38.77,40.56,41.98,42.83,49480
09.實體綠K(大陰線),09.-4~-2%,2.5~10%,47.91,48.64,48.67,48.64,48.67,48503
10.長下影線綠K,07.0%,1.<5%,39.3,42.82,44.09,44.98,45.51,48085
09.實體綠K(大陰線),10.-6~-4%,2.5~10%,50.37,50.4,50.29,50.08,49.74,44897
12.長上影線綠K,07.0%,1.<5%,47.23,48.58,49.04,49.43,49.43,42354
06.長下影線紅K,08.-2~0%,1.<5%,39.36,41.42,42.35,43.16,44.26,37299
01.一字線,07.0%,1.<5%,32.91,38.2,40.3,41.67,42.35,35564
02.T字線,07.0%,1.<5%,31.46,36.43,38.66,40.37,41.73,30809
08.長上影線紅K,07.0%,1.<5%,45.97,47.22,47.77,47.83,48.83,28981
01.一字線,08.-2~0%,1.<5%,42.14,45.68,46.84,46.39,46.3,27367
01.一字線,06.0~2%,1.<5%,33.13,37.15,38.8,39.27,40.25,27039
02.T字線,06.0~2%,1.<5%,35.05,39.61,41.58,43.18,44.31,26509
03.倒T字線,07.0%,1.<5%,47.58,49.55,50.59,50.58,51.12,25339
09.實體綠K(大陰線),11.-8~-6%,2.5~10%,42.85,46.3,46.84,48.02,48.04,24606
06.長下影線紅K,07.0%,1.<5%,36.17,39.35,41.22,42.09,43.24,24323
03.倒T字線,08.-2~0%,1.<5%,49.16,50.12,49.62,50.01,49.98,21440
12.長上影線綠K,09.-4~-2%,1.<5%,47.31,47.26,46.22,46.65,46.46,20900
09.實體綠K(大陰線),10.-6~-4%,1.<5%,49.72,49.58,48.34,48.18,48.12,20248
11.綠K,06.0~2%,1.<5%,47.77,49.33,50.22,50.34,49.95,19154
06.長下影線紅K,05.2~4%,1.<5%,42.7,45.02,46.34,46.74,46.84,16036
05.實體紅K(大陽線),05.2~4%,2.5~10%,39.87,41.79,42.95,42.37,43.22,15792
05.實體紅K(大陽線),04.4~6%,2.5~10%,38.64,40.86,42.62,42.88,43.14,15158
05.實體紅K(大陽線),03.6~8%,2.5~10%,54.03,52.43,52.92,52.35,51.36,14856
05.實體紅K(大陽線),04.4~6%,1.<5%,38.41,42.5,45.19,46.41,46.74,14615
02.T字線,08.-2~0%,1.<5%,34.58,37.93,39.68,40.2,41.38,14153
09.實體綠K(大陰線),08.-2~0%,2.5~10%,44.42,46.68,47.67,47.76,47.5,13225
08.長上影線紅K,05.2~4%,1.<5%,45.59,48.87,50.42,50.02,49.59,13183
10.長下影線綠K,08.-2~0%,2.5~10%,41.49,42.26,43.13,43.57,43.62,12852
03.倒T字線,06.0~2%,1.<5%,48.63,50.01,50.92,51.64,51.67,12491
11.綠K,07.0%,1.<5%,45.21,48.03,48.59,48.74,49.2,12297
10.長下影線綠K,09.-4~-2%,1.<5%,43.65,44.62,44.89,45.11,45.52,11216
12.長上影線綠K,08.-2~0%,2.5~10%,43.35,45.44,45.31,45.08,44.81,10765
07.紅K,08.-2~0%,1.<5%,43.02,44.97,45.09,46.24,46.02,9842
08.長上影線紅K,06.0~2%,2.5~10%,43.31,43.42,43.83,43.63,43.75,9546
05.實體紅K(大陽線),06.0~2%,2.5~10%,42.75,45.37,46.19,46.81,46.88,9216
01.一字線,03.6~8%,1.<5%,75.72,68.89,68.05,65.83,64.21,9156
11.綠K,09.-4~-2%,1.<5%,46.59,46.31,46.18,45.41,45.88,8805
01.一字線,09.-4~-2%,1.<5%,49.12,53.92,52.79,51.44,50.76,8737
08.長上影線紅K,09.-4~-2%,1.<5%,50.66,49.81,49.35,49.3,49.14,8674
07.紅K,05.2~4%,1.<5%,42.8,45.26,47.32,48.0,47.97,8578
12.長上影線綠K,09.-4~-2%,2.5~10%,46.88,48.76,47.62,47.36,47.3,7948
05.實體紅K(大陽線),03.6~8%,1.<5%,61.04,61.04,61.0,60.33,58.34,7820
01.一字線,05.2~4%,1.<5%,25.43,28.76,29.26,30.32,30.42,7690
06.長下影線紅K,06.0~2%,2.5~10%,40.72,42.53,43.74,43.9,43.51,7645
10.長下影線綠K,09.-4~-2%,2.5~10%,43.31,45.54,45.87,46.18,46.39,7374
05.實體紅K(大陽線),09.-4~-2%,1.<5%,47.26,47.9,48.71,48.87,47.56,6923
01.一字線,11.-8~-6%,1.<5%,29.55,29.79,33.79,34.85,39.54,6629
11.綠K,09.-4~-2%,2.5~10%,48.06,47.95,47.85,48.19,47.78,6270
10.長下影線綠K,05.2~4%,1.<5%,41.24,45.14,46.77,46.97,46.72,6256
05.實體紅K(大陽線),08.-2~0%,2.5~10%,43.85,45.44,47.02,46.76,46.9,5907
05.實體紅K(大陽線),02.8~10%,2.5~10%,55.47,54.73,58.23,57.47,57.15,5564
08.長上影線紅K,05.2~4%,2.5~10%,42.3,44.53,45.54,45.0,44.42,5484
04.十字線,09.-4~-2%,1.<5%,47.19,46.91,46.4,46.66,46.07,5408
07.紅K,07.0%,1.<5%,40.59,43.48,44.25,45.66,46.83,5264
06.長下影線紅K,05.2~4%,2.5~10%,39.58,41.77,43.36,43.2,43.6,5125
09.實體綠K(大陰線),11.-8~-6%,1.<5%,40.13,42.41,43.29,45.05,44.58,4765
09.實體綠K(大陰線),05.2~4%,1.<5%,38.47,41.16,43.72,43.14,44.03,4677
10.長下影線綠K,06.0~2%,2.5~10%,40.89,43.6,44.26,44.64,45.22,4515
08.長上影線紅K,08.-2~0%,2.5~10%,47.14,47.81,48.2,47.62,47.07,4179
04.十字線,05.2~4%,1.<5%,44.61,47.64,48.2,49.83,48.89,4129
03.倒T字線,09.-4~-2%,1.<5%,49.16,50.12,48.7,46.86,48.18,4091
09.實體綠K(大陰線),11.-8~-6%,3.10~15%,46.01,46.61,50.33,50.59,51.73,3744
11.綠K,08.-2~0%,2.5~10%,43.78,46.17,47.03,45.78,45.47,3582
09.實體綠K(大陰線),06.0~2%,2.5~10%,42.44,44.1,44.72,45.29,45.06,3534
12.長上影線綠K,06.0~2%,2.5~10%,44.6,46.01,46.38,46.18,45.43,3271
07.紅K,05.2~4%,2.5~10%,40.52,42.26,44.62,44.15,45.93,3255
01.一字線,02.8~10%,1.<5%,70.37,66.07,65.25,63.44,61.61,3069
09.實體綠K(大陰線),12.-10~-8%,2.5~10%,46.51,47.79,46.92,48.24,50.43,3016
01.一字線,04.4~6%,1.<5%,28.44,28.31,29.58,30.64,31.0,2925
12.長上影線綠K,10.-6~-4%,2.5~10%,51.37,51.76,52.15,51.27,50.33,2875
06.長下影線紅K,08.-2~0%,2.5~10%,40.4,41.71,43.61,45.44,46.06,2817
01.一字線,10.-6~-4%,1.<5%,53.77,56.35,57.05,57.82,56.63,2696
02.T字線,05.2~4%,1.<5%,34.08,36.79,40.86,42.31,43.16,2626
09.實體綠K(大陰線),12.-10~-8%,3.10~15%,51.98,49.18,50.04,51.11,51.93,2582
12.長上影線綠K,10.-6~-4%,1.<5%,51.05,50.31,48.09,47.35,47.21,2568
08.長上影線紅K,09.-4~-2%,2.5~10%,52.82,52.36,51.87,52.45,51.11,2520
05.實體紅K(大陽線),07.0%,2.5~10%,40.85,43.5,42.91,44.28,44.74,2485
01.一字線,12.-10~-8%,1.<5%,20.68,20.81,26.11,28.62,31.31,2400
09.實體綠K(大陰線),10.-6~-4%,3.10~15%,48.49,49.79,51.05,50.75,50.02,2352
06.長下影線紅K,09.-4~-2%,1.<5%,44.56,45.82,48.54,47.56,48.04,2298
12.長上影線綠K,05.2~4%,1.<5%,47.84,50.59,51.39,53.46,53.44,2270
03.倒T字線,11.-8~-6%,1.<5%,29.83,32.65,36.68,40.39,43.39,2233
10.長下影線綠K,07.0%,2.5~10%,40.69,41.24,42.63,42.38,42.79,2181
05.實體紅K(大陽線),02.8~10%,1.<5%,52.22,50.45,54.23,51.45,52.22,2121
05.實體紅K(大陽線),09.-4~-2%,2.5~10%,49.93,50.17,53.14,51.74,51.26,2101
06.長下影線紅K,03.6~8%,1.<5%,63.1,61.94,62.65,61.13,57.45,1981
04.十字線,08.-2~0%,2.5~10%,39.55,41.0,41.37,43.92,44.3,1967
12.長上影線綠K,11.-8~-6%,1.<5%,36.88,38.46,41.06,43.45,43.5,1963
12.長上影線綠K,11.-8~-6%,2.5~10%,42.35,47.08,48.58,49.74,51.68,1903
07.紅K,06.0~2%,2.5~10%,41.44,42.09,45.48,45.13,45.45,1835
04.十字線,06.0~2%,2.5~10%,43.21,46.73,46.87,46.11,45.62,1775
08.長上影線紅K,10.-6~-4%,1.<5%,55.36,52.54,50.68,51.86,51.64,1772
02.T字線,03.6~8%,1.<5%,67.23,62.35,62.46,61.56,59.17,1761
11.綠K,10.-6~-4%,2.5~10%,52.58,52.18,50.86,51.03,52.41,1749
05.實體紅K(大陽線),03.6~8%,3.10~15%,50.7,49.07,47.35,47.06,45.25,1721
09.實體綠K(大陰線),07.0%,2.5~10%,40.82,43.58,45.41,46.32,46.02,1701
05.實體紅K(大陽線),10.-6~-4%,1.<5%,52.28,53.79,55.98,54.22,53.49,1647
06.長下影線紅K,04.4~6%,1.<5%,42.1,43.69,47.22,49.88,48.32,1639
08.長上影線紅K,10.-6~-4%,2.5~10%,54.84,55.53,55.41,55.53,55.32,1590
04.十字線,07.0%,2.5~10%,41.35,42.92,43.51,44.99,44.3,1590
08.長上影線紅K,07.0%,2.5~10%,45.12,46.06,47.59,47.65,44.98,1536
12.長上影線綠K,07.0%,2.5~10%,42.77,43.0,44.03,43.69,43.82,1459
06.長下影線紅K,04.4~6%,2.5~10%,40.0,41.6,44.19,43.48,42.66,1405
10.長下影線綠K,05.2~4%,2.5~10%,37.56,39.53,41.75,40.49,40.8,1395
04.十字線,09.-4~-2%,2.5~10%,43.7,46.45,46.81,45.72,46.15,1380
06.長下影線紅K,07.0%,2.5~10%,38.84,40.62,41.07,42.3,42.46,1290
05.實體紅K(大陽線),04.4~6%,3.10~15%,38.38,39.8,39.88,40.83,40.7,1201
05.實體紅K(大陽線),02.8~10%,3.10~15%,53.87,47.69,48.44,47.73,47.76,1125
07.紅K,04.4~6%,2.5~10%,40.13,40.47,43.96,44.14,44.08,1119
10.長下影線綠K,10.-6~-4%,2.5~10%,45.76,47.62,47.66,47.1,48.54,1074
09.實體綠K(大陰線),09.-4~-2%,3.10~15%,45.93,48.42,48.32,49.04,47.69,1045
09.實體綠K(大陰線),04.4~6%,1.<5%,33.27,34.35,36.92,36.96,37.65,1013
09.實體綠K(大陰線),05.2~4%,2.5~10%,37.71,38.98,38.82,38.96,38.7,1006
10.長下影線綠K,10.-6~-4%,1.<5%,47.9,47.49,48.04,48.14,45.84,998
10.長下影線綠K,04.4~6%,1.<5%,33.63,39.82,44.44,46.26,43.71,910
08.長上影線紅K,04.4~6%,1.<5%,41.09,47.16,50.45,52.9,51.0,898
02.T字線,09.-4~-2%,1.<5%,40.83,43.58,42.89,43.0,44.43,872
08.長上影線紅K,04.4~6%,2.5~10%,41.63,45.51,48.98,48.26,49.94,836
09.實體綠K(大陰線),12.-10~-8%,1.<5%,47.34,51.21,50.06,53.81,53.33,828
06.長下影線紅K,03.6~8%,2.5~10%,56.41,53.08,54.74,53.97,52.5,780
04.十字線,05.2~4%,2.5~10%,43.09,42.15,43.89,43.76,46.51,746
07.紅K,04.4~6%,1.<5%,42.53,47.38,53.16,52.89,50.74,743
