N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
十字 -> 紅K -> 綠K,10.-25~-20%,30,100.0,100.0,100.0,100.0,100.0
十字 -> 十字 -> 綠K,11.-30~-25%,109,94.5,92.66,93.58,92.66,92.66
十字 -> 綠K -> 綠K,11.-30~-25%,35,94.29,94.29,94.29,94.29,97.14
十字 -> 紅K -> 綠K,09.-20~-15%,34,82.35,79.41,85.29,79.41,91.18
十字 -> 十字 -> 十字,11.-30~-25%,43,79.07,79.07,79.07,79.07,81.4
十字 -> 十字 -> 十字,04.15~20%,40,75.0,75.0,67.5,62.5,57.5
紅K -> 十字 -> 紅K,01.>30%,102,73.53,60.78,61.76,55.88,54.9
十字 -> 十字 -> 十字,03.20~25%,440,68.41,63.64,62.73,62.05,62.95
紅K -> 紅K -> 綠K,08.-15~-10%,52,67.31,67.31,65.38,71.15,76.92
十字 -> 十字 -> 紅K,01.>30%,88,67.05,69.32,62.5,61.36,60.23
十字 -> 十字 -> 十字,01.>30%,137,65.69,58.39,54.01,55.47,48.18
十字 -> 紅K -> 綠K,08.-15~-10%,59,64.41,64.41,67.8,72.88,76.27
紅K -> 十字 -> 十字,03.20~25%,316,62.03,61.08,60.44,56.65,56.01
紅K -> 十字 -> 十字,01.>30%,91,61.54,54.95,54.95,47.25,45.05
綠K -> 十字 -> 紅K,04.15~20%,41,60.98,51.22,53.66,48.78,43.9
紅K -> 紅K -> 十字,03.20~25%,202,60.4,60.89,58.91,56.44,55.94
紅K -> 綠K -> 紅K,03.20~25%,68,60.29,55.88,54.41,45.59,50.0
十字 -> 綠K -> 紅K,04.15~20%,45,60.0,57.78,53.33,51.11,46.67
綠K -> 綠K -> 綠K,09.-20~-15%,481,59.67,58.84,56.76,62.79,62.79
綠K -> 紅K -> 紅K,02.25~30%,32,59.38,59.38,53.12,56.25,46.88
綠K -> 十字 -> 十字,05.10~15%,76,59.21,52.63,56.58,61.84,60.53
十字 -> 紅K -> 紅K,01.>30%,55,58.18,56.36,50.91,50.91,45.45
綠K -> 紅K -> 十字,03.20~25%,43,58.14,55.81,51.16,41.86,34.88
紅K -> 十字 -> 十字,02.25~30%,31,58.06,64.52,54.84,54.84,41.94
紅K -> 十字 -> 十字,04.15~20%,78,57.69,62.82,65.38,53.85,51.28
紅K -> 紅K -> 十字,01.>30%,44,56.82,45.45,52.27,34.09,36.36
紅K -> 十字 -> 紅K,03.20~25%,229,56.77,52.4,56.33,52.84,52.4
紅K -> 紅K -> 十字,04.15~20%,262,56.49,54.58,56.11,49.24,45.8
十字 -> 綠K -> 綠K,09.-20~-15%,32,56.25,71.88,68.75,71.88,75.0
十字 -> 十字 -> 十字,08.-15~-10%,52,55.77,46.15,67.31,69.23,71.15
十字 -> 十字 -> 紅K,03.20~25%,177,55.37,62.71,60.45,55.37,56.5
紅K -> 綠K -> 紅K,08.-15~-10%,69,55.07,60.87,57.97,59.42,62.32
紅K -> 十字 -> 十字,05.10~15%,62,54.84,50.0,59.68,53.23,46.77
十字 -> 紅K -> 紅K,02.25~30%,42,54.76,42.86,45.24,45.24,42.86
紅K -> 綠K -> 紅K,04.15~20%,405,54.57,49.88,51.6,49.38,47.16
綠K -> 紅K -> 十字,05.10~15%,374,54.55,55.61,53.48,53.48,51.07
綠K -> 綠K -> 綠K,10.-25~-20%,68,54.41,55.88,60.29,61.76,63.24
綠K -> 紅K -> 紅K,08.-15~-10%,54,53.7,62.96,64.81,66.67,66.67
綠K -> 紅K -> 紅K,03.20~25%,427,53.16,51.05,50.82,51.99,48.95
綠K -> 紅K -> 綠K,09.-20~-15%,34,52.94,64.71,64.71,64.71,67.65
紅K -> 十字 -> 紅K,04.15~20%,197,52.79,49.75,48.73,49.24,50.76
綠K -> 紅K -> 十字,04.15~20%,82,52.44,51.22,42.68,45.12,51.22
綠K -> 紅K -> 綠K,08.-15~-10%,360,52.22,53.33,50.83,55.0,61.11
綠K -> 綠K -> 紅K,05.10~15%,543,51.75,46.04,48.8,46.04,46.04
紅K -> 紅K -> 紅K,01.>30%,393,51.4,50.38,52.42,49.36,48.6
紅K -> 綠K -> 十字,08.-15~-10%,39,51.28,51.28,48.72,53.85,58.97
紅K -> 綠K -> 十字,05.10~15%,59,50.85,54.24,52.54,55.93,61.02
