N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
十字 -> 十字 -> 綠K,11.-30~-25%,118,93.22,91.53,93.22,93.22,91.53
十字 -> 紅K -> 綠K,10.-25~-20%,110,90.91,90.91,90.0,90.91,91.82
十字 -> 綠K -> 綠K,11.-30~-25%,79,87.34,83.54,84.81,89.87,87.34
綠K -> 十字 -> 十字,05.10~15%,174,81.03,76.44,74.71,71.84,68.39
十字 -> 綠K -> 紅K,09.-20~-15%,228,80.26,71.05,79.39,82.89,81.14
十字 -> 十字 -> 十字,03.20~25%,1044,79.02,71.93,71.55,69.35,68.49
紅K -> 十字 -> 十字,02.25~30%,56,78.57,75.0,73.21,69.64,62.5
綠K -> 十字 -> 十字,04.15~20%,86,76.74,68.6,72.09,66.28,68.6
綠K -> 十字 -> 十字,03.20~25%,38,76.32,76.32,68.42,65.79,65.79
紅K -> 十字 -> 十字,01.>30%,212,74.53,65.57,65.09,62.74,60.85
十字 -> 綠K -> 綠K,10.-25~-20%,82,74.39,63.41,67.07,71.95,70.73
紅K -> 十字 -> 十字,03.20~25%,951,73.92,69.51,68.45,65.3,64.14
紅K -> 十字 -> 十字,04.15~20%,199,70.35,69.35,67.84,68.34,68.34
綠K -> 紅K -> 十字,05.10~15%,940,70.32,65.21,64.36,62.45,59.47
十字 -> 紅K -> 十字,03.20~25%,165,70.3,64.85,57.58,60.0,56.97
紅K -> 紅K -> 十字,02.25~30%,131,70.23,63.36,64.89,62.6,60.31
紅K -> 紅K -> 十字,03.20~25%,1023,69.79,64.42,65.4,62.85,62.37
十字 -> 紅K -> 十字,04.15~20%,79,69.62,56.96,58.23,56.96,53.16
綠K -> 紅K -> 十字,03.20~25%,117,68.38,65.81,59.83,57.26,53.85
十字 -> 紅K -> 十字,01.>30%,41,68.29,63.41,58.54,68.29,51.22
綠K -> 紅K -> 十字,04.15~20%,334,67.96,62.28,63.77,63.17,61.68
十字 -> 綠K -> 十字,09.-20~-15%,242,67.77,72.31,74.79,74.38,72.73
十字 -> 十字 -> 十字,01.>30%,223,67.26,60.54,60.09,54.26,56.5
十字 -> 十字 -> 紅K,03.20~25%,331,67.07,60.73,60.73,56.8,54.38
紅K -> 紅K -> 十字,01.>30%,265,66.42,55.85,55.85,52.08,51.7
十字 -> 紅K -> 綠K,09.-20~-15%,257,65.76,64.59,73.15,74.71,73.54
紅K -> 綠K -> 十字,04.15~20%,89,64.04,64.04,59.55,59.55,55.06
十字 -> 綠K -> 紅K,03.20~25%,111,63.96,55.86,59.46,53.15,54.05
紅K -> 紅K -> 十字,04.15~20%,1107,63.23,60.34,60.52,60.52,58.45
十字 -> 十字 -> 紅K,01.>30%,78,62.82,53.85,52.56,50.0,50.0
綠K -> 十字 -> 紅K,10.-25~-20%,32,62.5,65.62,56.25,59.38,50.0
十字 -> 紅K -> 紅K,03.20~25%,425,61.88,54.12,53.18,51.76,51.76
十字 -> 十字 -> 十字,11.-30~-25%,221,61.54,52.49,59.28,62.44,61.09
十字 -> 紅K -> 紅K,01.>30%,123,60.98,47.97,46.34,43.9,44.72
紅K -> 紅K -> 綠K,09.-20~-15%,46,60.87,65.22,69.57,73.91,80.43
十字 -> 紅K -> 紅K,02.25~30%,83,60.24,48.19,46.99,48.19,46.99
紅K -> 十字 -> 紅K,01.>30%,116,59.48,51.72,51.72,49.14,44.83
十字 -> 綠K -> 綠K,09.-20~-15%,434,58.99,63.36,69.12,69.12,66.59
紅K -> 綠K -> 綠K,09.-20~-15%,804,58.96,59.58,58.33,60.2,61.82
綠K -> 綠K -> 綠K,12.<-30%,46,58.7,52.17,50.0,47.83,47.83
紅K -> 十字 -> 十字,05.10~15%,198,58.59,56.57,53.03,52.02,53.54
十字 -> 紅K -> 十字,05.10~15%,196,58.16,56.63,58.67,56.12,52.04
綠K -> 綠K -> 十字,05.10~15%,52,57.69,53.85,46.15,48.08,48.08
十字 -> 紅K -> 綠K,03.20~25%,101,57.43,55.45,53.47,52.48,46.53
紅K -> 十字 -> 紅K,03.20~25%,479,57.41,51.77,48.43,48.64,49.9
十字 -> 綠K -> 紅K,08.-15~-10%,551,57.17,59.53,66.06,65.52,64.79
十字 -> 紅K -> 十字,08.-15~-10%,98,57.14,51.02,64.29,65.31,60.2
紅K -> 綠K -> 十字,05.10~15%,467,56.96,58.89,58.24,56.1,54.6
紅K -> 綠K -> 紅K,03.20~25%,596,56.88,54.03,51.68,49.83,51.68
綠K -> 綠K -> 綠K,09.-20~-15%,6996,56.76,56.55,57.78,59.96,59.76
紅K -> 紅K -> 紅K,08.-15~-10%,53,56.6,56.6,58.49,58.49,52.83
綠K -> 十字 -> 紅K,05.10~15%,268,55.97,54.85,54.85,53.73,55.22
綠K -> 紅K -> 紅K,09.-20~-15%,59,55.93,50.85,64.41,59.32,64.41
十字 -> 綠K -> 紅K,04.15~20%,434,55.76,52.76,52.07,49.08,48.16
綠K -> 紅K -> 紅K,03.20~25%,530,55.09,49.62,49.25,48.11,49.62
紅K -> 綠K -> 紅K,08.-15~-10%,874,54.69,55.72,60.76,59.95,63.04
十字 -> 十字 -> 十字,02.25~30%,44,54.55,50.0,47.73,50.0,54.55
綠K -> 紅K -> 紅K,04.15~20%,1954,54.4,50.87,51.07,50.36,50.72
綠K -> 綠K -> 綠K,08.-15~-10%,28581,54.25,55.71,55.03,56.03,55.56
十字 -> 紅K -> 綠K,04.15~20%,296,54.05,53.38,56.42,54.05,41.22
十字 -> 紅K -> 綠K,05.10~15%,792,53.79,52.53,50.63,50.38,43.06
綠K -> 綠K -> 綠K,10.-25~-20%,878,53.76,51.59,50.91,59.11,63.9
綠K -> 紅K -> 紅K,08.-15~-10%,687,53.71,55.31,57.06,58.66,57.21
紅K -> 紅K -> 紅K,01.>30%,959,53.49,51.2,50.99,46.92,47.65
十字 -> 綠K -> 綠K,08.-15~-10%,1479,52.94,57.74,58.55,59.7,62.75
十字 -> 綠K -> 十字,08.-15~-10%,371,52.83,61.73,70.08,67.92,69.0
綠K -> 綠K -> 紅K,05.10~15%,830,52.77,49.52,50.12,49.64,49.4
綠K -> 綠K -> 紅K,09.-20~-15%,1375,52.58,47.42,55.85,56.73,54.55
紅K -> 綠K -> 紅K,04.15~20%,2669,51.85,48.59,46.91,46.01,46.12
綠K -> 綠K -> 紅K,08.-15~-10%,8003,51.78,51.94,55.29,55.05,55.25
紅K -> 紅K -> 紅K,03.20~25%,4364,51.74,51.6,50.46,50.6,51.72
紅K -> 十字 -> 紅K,02.25~30%,58,51.72,53.45,56.9,58.62,55.17
十字 -> 十字 -> 十字,04.15~20%,181,51.38,49.17,49.72,49.72,48.62
十字 -> 紅K -> 十字,09.-20~-15%,51,50.98,39.22,50.98,52.94,50.98
紅K -> 綠K -> 紅K,02.25~30%,104,50.96,41.35,45.19,41.35,45.19
綠K -> 綠K -> 紅K,04.15~20%,106,50.94,47.17,48.11,47.17,50.0
綠K -> 十字 -> 紅K,04.15~20%,59,50.85,49.15,54.24,62.71,59.32
紅K -> 綠K -> 綠K,08.-15~-10%,5880,50.54,55.77,53.62,56.11,58.57
綠K -> 紅K -> 綠K,08.-15~-10%,6182,50.39,53.41,54.27,55.29,56.24
十字 -> 紅K -> 紅K,04.15~20%,669,50.37,47.83,49.48,49.48,43.8
綠K -> 紅K -> 紅K,02.25~30%,56,50.0,39.29,50.0,50.0,44.64
十字 -> 綠K -> 十字,05.10~15%,66,50.0,46.97,45.45,39.39,46.97
十字 -> 紅K -> 紅K,05.10~15%,1608,49.94,48.88,48.51,49.13,47.01
紅K -> 紅K -> 綠K,08.-15~-10%,430,49.53,53.72,57.44,59.07,60.47
十字 -> 綠K -> 綠K,04.15~20%,61,49.18,54.1,50.82,44.26,36.07
綠K -> 紅K -> 紅K,05.10~15%,8301,48.66,48.6,48.85,47.72,47.67
十字 -> 紅K -> 紅K,08.-15~-10%,227,48.46,48.02,52.86,50.66,50.66
十字 -> 綠K -> 紅K,02.25~30%,31,48.39,35.48,35.48,51.61,51.61
紅K -> 十字 -> 紅K,04.15~20%,577,48.35,49.91,47.66,47.49,47.49
十字 -> 十字 -> 十字,05.10~15%,337,48.07,45.4,44.51,45.7,43.32
綠K -> 綠K -> 綠K,07.-10~0%,460166,48.05,49.46,49.7,49.86,49.84
綠K -> 十字 -> 紅K,08.-15~-10%,709,47.95,53.6,53.46,61.21,62.48
紅K -> 紅K -> 十字,05.10~15%,1857,47.5,49.0,48.47,48.3,47.17
綠K -> 綠K -> 十字,06.0~10%,9002,47.48,47.81,48.5,48.56,48.9
紅K -> 紅K -> 紅K,02.25~30%,1128,47.16,46.72,48.58,47.96,50.0
紅K -> 綠K -> 紅K,09.-20~-15%,123,47.15,36.59,43.9,45.53,52.03
紅K -> 綠K -> 紅K,05.10~15%,11191,47.15,46.51,46.45,45.58,45.8
紅K -> 綠K -> 綠K,07.-10~0%,251429,47.1,48.74,49.28,49.35,49.78
綠K -> 十字 -> 綠K,08.-15~-10%,1407,46.62,55.08,54.73,57.71,60.84
十字 -> 綠K -> 綠K,05.10~15%,313,46.33,49.2,43.77,45.37,45.05
十字 -> 綠K -> 綠K,07.-10~0%,52093,46.23,48.53,49.12,49.47,50.02
紅K -> 綠K -> 十字,09.-20~-15%,119,46.22,52.1,52.94,56.3,58.82
十字 -> 綠K -> 紅K,05.10~15%,894,46.2,45.64,43.85,41.61,40.83
紅K -> 綠K -> 綠K,05.10~15%,1924,46.15,47.66,46.15,45.06,46.62
紅K -> 十字 -> 紅K,08.-15~-10%,130,46.15,65.38,68.46,75.38,72.31
十字 -> 十字 -> 綠K,05.10~15%,362,46.13,47.79,46.69,48.07,46.13
十字 -> 綠K -> 綠K,06.0~10%,10503,46.1,47.7,47.26,48.07,47.96
紅K -> 紅K -> 綠K,05.10~15%,14365,46.0,46.89,46.33,45.87,46.11
紅K -> 綠K -> 紅K,07.-10~0%,74566,45.99,47.83,48.77,48.97,49.47
十字 -> 紅K -> 綠K,08.-15~-10%,666,45.95,51.95,61.26,60.06,60.51
綠K -> 綠K -> 綠K,05.10~15%,122,45.9,39.34,38.52,31.97,40.16
綠K -> 綠K -> 綠K,06.0~10%,33561,45.89,47.0,47.19,47.53,48.24
紅K -> 綠K -> 綠K,06.0~10%,174789,45.81,46.8,46.96,46.86,47.05
紅K -> 紅K -> 紅K,04.15~20%,10031,45.72,46.58,48.07,47.49,48.72
綠K -> 紅K -> 十字,08.-15~-10%,323,45.51,53.87,53.56,55.42,54.49
綠K -> 紅K -> 綠K,07.-10~0%,272807,45.51,47.65,48.31,48.83,48.86
綠K -> 綠K -> 十字,07.-10~0%,55852,45.34,47.27,47.79,48.31,48.56
十字 -> 十字 -> 綠K,08.-15~-10%,243,45.27,52.67,63.79,65.02,71.6
紅K -> 紅K -> 綠K,07.-10~0%,64771,45.17,47.05,48.32,48.77,48.89
紅K -> 十字 -> 綠K,08.-15~-10%,264,45.08,52.65,59.47,59.85,62.5
十字 -> 十字 -> 十字,06.0~10%,5526,45.01,46.18,46.4,47.54,48.53
綠K -> 紅K -> 紅K,01.>30%,40,45.0,35.0,30.0,25.0,25.0
綠K -> 綠K -> 紅K,07.-10~0%,275007,44.79,46.59,48.0,48.65,49.07
綠K -> 綠K -> 紅K,10.-25~-20%,152,44.74,30.92,42.11,55.92,50.0
綠K -> 十字 -> 綠K,07.-10~0%,55220,44.63,47.23,47.9,48.33,48.35
紅K -> 十字 -> 紅K,05.10~15%,1461,44.56,45.52,46.54,46.2,46.75
綠K -> 紅K -> 綠K,03.20~25%,36,44.44,36.11,41.67,38.89,41.67
紅K -> 綠K -> 紅K,06.0~10%,212142,44.27,45.38,45.95,46.15,46.55
綠K -> 十字 -> 十字,06.0~10%,3359,44.24,45.61,46.59,47.1,49.33
紅K -> 紅K -> 綠K,06.0~10%,223181,44.18,45.62,46.26,46.22,46.5
紅K -> 綠K -> 十字,06.0~10%,29343,44.16,45.47,46.43,46.75,46.78
綠K -> 紅K -> 綠K,09.-20~-15%,994,44.16,44.57,49.3,52.72,54.43
綠K -> 紅K -> 十字,06.0~10%,23213,44.12,45.87,46.66,47.4,47.62
紅K -> 紅K -> 綠K,04.15~20%,3358,43.98,46.07,46.4,46.49,47.86
綠K -> 紅K -> 紅K,07.-10~0%,82986,43.94,46.62,48.01,48.78,49.11
紅K -> 十字 -> 綠K,06.0~10%,25245,43.93,46.5,47.12,47.32,47.7
十字 -> 綠K -> 紅K,07.-10~0%,21613,43.91,46.84,47.62,48.61,48.76
綠K -> 綠K -> 綠K,11.-30~-25%,164,43.9,42.68,45.12,48.78,53.05
十字 -> 綠K -> 紅K,06.0~10%,23889,43.84,45.15,45.42,45.83,46.09
紅K -> 十字 -> 綠K,07.-10~0%,19443,43.77,47.0,48.05,48.24,48.34
紅K -> 紅K -> 十字,08.-15~-10%,32,43.75,40.62,56.25,53.12,59.38
紅K -> 紅K -> 紅K,07.-10~0%,10809,43.62,46.04,47.04,47.94,48.27
綠K -> 紅K -> 十字,07.-10~0%,23588,43.52,45.99,47.06,48.24,47.69
紅K -> 綠K -> 十字,07.-10~0%,22139,43.48,45.8,47.02,47.25,47.95
綠K -> 綠K -> 紅K,06.0~10%,127151,43.47,44.92,46.05,46.58,46.94
紅K -> 紅K -> 紅K,06.0~10%,141188,43.46,45.24,46.06,46.69,46.97
十字 -> 紅K -> 綠K,07.-10~0%,20137,43.38,46.09,47.11,47.85,48.3
紅K -> 十字 -> 綠K,04.15~20%,363,43.25,48.76,46.56,46.83,44.9
十字 -> 十字 -> 紅K,02.25~30%,37,43.24,43.24,35.14,37.84,35.14
十字 -> 紅K -> 紅K,09.-20~-15%,37,43.24,40.54,45.95,59.46,51.35
綠K -> 十字 -> 綠K,06.0~10%,8746,43.21,45.84,47.46,46.78,47.23
紅K -> 紅K -> 紅K,05.10~15%,21194,43.13,43.97,44.7,45.26,46.23
綠K -> 十字 -> 紅K,09.-20~-15%,260,43.08,50.38,51.92,58.08,58.08
綠K -> 紅K -> 綠K,06.0~10%,151372,43.03,44.76,45.23,45.63,45.83
十字 -> 十字 -> 綠K,06.0~10%,3624,42.99,45.53,46.99,47.16,47.38
紅K -> 十字 -> 綠K,03.20~25%,114,42.98,50.0,45.61,48.25,50.0
綠K -> 十字 -> 紅K,07.-10~0%,21594,42.97,45.45,46.92,47.62,47.75
綠K -> 綠K -> 十字,09.-20~-15%,1026,42.88,44.64,47.95,45.13,50.49
