N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
十字 -> 紅K -> 綠K,11.-30~-25%,33,93.94,96.97,96.97,93.94,100.0
十字 -> 十字 -> 綠K,11.-30~-25%,227,93.83,92.07,93.39,92.95,92.07
十字 -> 紅K -> 綠K,10.-25~-20%,140,92.86,92.86,92.14,92.86,93.57
十字 -> 綠K -> 綠K,11.-30~-25%,114,89.47,86.84,87.72,91.23,90.35
十字 -> 綠K -> 紅K,09.-20~-15%,244,79.1,71.31,79.92,82.38,80.74
十字 -> 十字 -> 十字,03.20~25%,1484,75.88,69.47,68.94,67.18,66.85
綠K -> 十字 -> 十字,03.20~25%,59,74.58,69.49,66.1,55.93,55.93
綠K -> 十字 -> 十字,05.10~15%,250,74.4,69.2,69.2,68.8,66.0
十字 -> 綠K -> 綠K,10.-25~-20%,93,74.19,64.52,68.82,73.12,72.04
綠K -> 十字 -> 十字,04.15~20%,115,73.04,64.35,71.3,65.22,69.57
紅K -> 十字 -> 十字,02.25~30%,87,71.26,71.26,66.67,64.37,55.17
紅K -> 十字 -> 十字,03.20~25%,1267,70.96,67.4,66.46,63.14,62.12
紅K -> 十字 -> 十字,01.>30%,303,70.63,62.38,62.05,58.09,56.11
十字 -> 紅K -> 十字,01.>30%,48,68.75,66.67,56.25,68.75,54.17
紅K -> 紅K -> 十字,02.25~30%,156,68.59,62.18,64.74,62.82,58.97
十字 -> 綠K -> 十字,09.-20~-15%,253,68.38,72.33,74.31,74.7,73.12
紅K -> 紅K -> 十字,03.20~25%,1225,68.24,63.84,64.33,61.8,61.31
十字 -> 紅K -> 十字,03.20~25%,182,68.13,63.74,57.14,59.34,57.69
十字 -> 紅K -> 綠K,09.-20~-15%,291,67.7,66.32,74.57,75.26,75.6
十字 -> 紅K -> 十字,04.15~20%,106,66.98,51.89,55.66,55.66,51.89
紅K -> 十字 -> 十字,04.15~20%,277,66.79,67.51,67.15,64.26,63.54
十字 -> 十字 -> 十字,01.>30%,360,66.67,59.72,57.78,54.72,53.33
紅K -> 十字 -> 紅K,01.>30%,218,66.06,55.96,56.42,52.29,49.54
綠K -> 紅K -> 十字,05.10~15%,1314,65.83,62.48,61.26,59.89,57.08
綠K -> 紅K -> 十字,03.20~25%,160,65.62,63.12,57.5,53.12,48.75
十字 -> 十字 -> 紅K,01.>30%,166,65.06,62.05,57.83,56.02,55.42
紅K -> 紅K -> 十字,01.>30%,309,65.05,54.37,55.34,49.51,49.51
綠K -> 紅K -> 十字,04.15~20%,416,64.9,60.1,59.62,59.62,59.62
十字 -> 十字 -> 十字,11.-30~-25%,264,64.39,56.82,62.5,65.15,64.39
紅K -> 綠K -> 十字,04.15~20%,100,64.0,63.0,61.0,61.0,55.0
