N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
[綠K|13.<-10%] -> [綠K|12.-10~-8%] -> [紅K|07.0%],15.<-30%,2,100.0,100.0,50.0,50.0,100.0
[綠K|13.<-10%] -> [綠K|12.-10~-8%] -> [紅K|10.-6~-4%],15.<-30%,1,100.0,100.0,100.0,100.0,100.0
[十字線|01.>10%] -> [十字線|01.>10%] -> [紅K|03.6~8%],01.>30%,1,100.0,100.0,100.0,100.0,100.0
[十字線|01.>10%] -> [十字線|01.>10%] -> [紅K|07.0%],01.>30%,2,100.0,100.0,100.0,100.0,100.0
[十字線|01.>10%] -> [十字線|01.>10%] -> [綠K|09.-4~-2%],02.25~30%,1,100.0,100.0,100.0,100.0,100.0
[十字線|01.>10%] -> [十字線|01.>10%] -> [綠K|13.<-10%],06.5~10%,1,100.0,0.0,100.0,100.0,0.0
[十字線|01.>10%] -> [十字線|01.>10%] -> [綠K|13.<-10%],13.-25~-20%,1,100.0,100.0,0.0,0.0,0.0
[紅K|06.0~2%] -> [十字線|07.0%] -> [紅K|12.-10~-8%],13.-25~-20%,2,100.0,50.0,100.0,100.0,50.0
[綠K|13.<-10%] -> [綠K|12.-10~-8%] -> [十字線|09.-4~-2%],15.<-30%,1,100.0,100.0,100.0,100.0,100.0
[十字線|01.>10%] -> [十字線|02.8~10%] -> [十字線|04.4~6%],01.>30%,1,100.0,100.0,100.0,100.0,100.0
[紅K|07.0%] -> [綠K|07.0%] -> [紅K|01.>10%],02.25~30%,5,100.0,100.0,100.0,100.0,100.0
[紅K|07.0%] -> [綠K|07.0%] -> [紅K|03.6~8%],00.未知,1,100.0,100.0,100.0,100.0,100.0
[紅K|04.4~6%] -> [綠K|12.-10~-8%] -> [綠K|03.6~8%],06.5~10%,1,100.0,100.0,0.0,0.0,0.0
[紅K|04.4~6%] -> [綠K|12.-10~-8%] -> [綠K|04.4~6%],09.-5~0%,1,100.0,100.0,100.0,100.0,100.0
[紅K|04.4~6%] -> [綠K|12.-10~-8%] -> [綠K|06.0~2%],09.-5~0%,4,100.0,75.0,75.0,50.0,50.0
[紅K|07.0%] -> [綠K|07.0%] -> [紅K|13.<-10%],15.<-30%,1,100.0,100.0,100.0,100.0,100.0
[紅K|04.4~6%] -> [綠K|12.-10~-8%] -> [紅K|05.2~4%],08.0%,2,100.0,100.0,50.0,50.0,50.0
